,Unnamed: 0.1,Unnamed: 0,epsW_sonic1,MAD_value_1,MAD_criteria_met_1,epsW_sonic2,MAD_value_2,MAD_criteria_met_2,epsW_sonic3,MAD_value_3,MAD_criteria_met_3,epsW_sonic4,MAD_value_4,MAD_criteria_met_4,epsW_sonic1_MAD,epsW_sonic2_MAD,epsW_sonic3_MAD,epsW_sonic4_MAD
0,0,0,0.0032830165925173,0.1505787267166342,True,0.0014087885253241,0.1418031516185056,True,0.0011775670860522,0.154957153334772,True,0.0009228132410654,0.1929024535771068,True,0.0032830165925173,0.0014087885253241,0.0011775670860522,0.0009228132410654
1,1,1,0.0024703873557336,0.147326437190324,True,0.0009200855613364,0.1513282125374984,True,0.000801899578319,0.1523676047836756,True,0.0006349951709144,0.188843041958295,True,0.0024703873557336,0.0009200855613364,0.000801899578319,0.0006349951709144
2,2,2,0.0021089658105565,0.1410765960384817,True,0.0009145186307159,0.1480858490870467,True,0.0007477435514184,0.1519198288830282,True,0.0006565196250365,0.1937509514134543,True,0.0021089658105565,0.0009145186307159,0.0007477435514184,0.0006565196250365
3,3,3,0.0010517221214985,0.1467940010454156,True,0.000617990093328,0.1530481940281839,True,0.0005084617754958,0.1353546287685762,True,0.000518698306254,0.2000688226671226,True,0.0010517221214985,0.000617990093328,0.0005084617754958,0.000518698306254
4,4,4,0.0014766934742611,0.1350735476736028,True,0.0008727421377099,0.1475049064939296,True,0.0006967148607568,0.1841321540114617,True,0.0005406340538969,0.2011058936547241,True,0.0014766934742611,0.0008727421377099,0.0006967148607568,0.0005406340538969
5,5,5,0.0012673487476486,0.1448255592652066,True,0.0005666227982955,0.1437647508061229,True,0.0004838897283615,0.1833215308971545,True,0.0004750887101852,0.1828791247896189,True,0.0012673487476486,0.0005666227982955,0.0004838897283615,0.0004750887101852
6,6,6,0.0016002955084313,0.1473833790475402,True,0.0006748426528371,0.1540270164035422,True,0.000591256411265,0.1597739529360061,True,0.0005196812794611,0.1856740897578826,True,0.0016002955084313,0.0006748426528371,0.000591256411265,0.0005196812794611
7,7,7,0.001333619937012,0.1463074605178503,True,0.0004742830019638,0.1448982544550828,True,0.000383696337884,0.1606357716112887,True,0.0003162669031239,0.1989890635994686,True,0.001333619937012,0.0004742830019638,0.000383696337884,0.0003162669031239
8,8,8,0.0013810549929903,0.1455945954451062,True,0.0005765981323781,0.1611939279683869,True,0.000516451879143,0.1744281745032627,True,0.0004530594384032,0.2143772672080458,True,0.0013810549929903,0.0005765981323781,0.000516451879143,0.0004530594384032
9,9,9,0.0025456777874925,0.1349145072236198,True,0.0011203987576948,0.1447432360553177,True,0.0008475234179785,0.1956629083396154,True,0.0008082030950887,0.1834718609464343,True,0.0025456777874925,0.0011203987576948,0.0008475234179785,0.0008082030950887
