,UpWp_bar_s1,UpWp_bar_s2,UpWp_bar_s3,UpWp_bar_s4
0,-0.0408272693165226,-0.0373644487610341,-0.0412614422047082,-0.0435678082439869
1,-0.0288999784912052,-0.0194926707578213,-0.0145929102778487,-0.0272150694630088
2,-0.0280761679969939,-0.0234074553315043,0.0049519004084035,-0.0249677136400701
3,-0.0206221297626135,-0.0156723038667896,-0.0167662672288162,-0.0301833493672536
4,-0.0219796794423646,-0.022423403087806,-0.0304359118982824,-0.0310120237672689
5,-0.0138967468647174,-0.0105058450139307,-0.0119614770901156,-0.0046438164604103
6,-0.0207982774319522,-0.0239546196770219,-0.0319586853797805,-0.0244775300208882
7,-0.0201989903151993,-0.0199882462853302,-0.0293627387025023,-0.0244399134101372
8,-0.0190850186277611,-0.0116880072378173,-0.0176787731036694,-0.0144475457742655
9,-0.024622911317963,-0.0199477952169155,-0.0205225516805602,-0.0264291792304246
10,-0.0346291317222381,-0.0378797684265367,-0.0408628805101313,-0.0387991348976979
11,-0.0277080997810242,-0.0194029921637828,-0.0188259727130983,-0.022988714606547
12,-0.0184163864451243,-0.0156875190264245,-0.0076845512754178,-0.0218375107965342
13,-0.0129283914635495,-0.0242128896063203,-0.0152367585090009,-0.0185441047672189
14,-0.0156961419439813,-0.0169336928713135,-0.0337664935480442,-0.016455725971758
15,-0.0141873242543865,-0.0116010481605351,-0.0243276359440705,-0.0143757403089786
16,,,,
17,,,,
18,,,,
19,-0.0038044458385536,-0.0020224385557016,-0.003030018547727,-0.0067840885022071
20,-0.0071216120894866,-0.0059940980600741,-0.0063336781936535,-0.0076417417786328
21,-0.0124104732504387,-0.008677064706937,-0.0056337917078664,-0.0056755075047844
22,-0.0099994026647606,-0.0090578212762927,-0.0074874464083482,-0.009091263244968
23,-0.0075933942264718,-0.0069834879047127,-0.0063011745512667,-0.007198493248237
24,-0.0137894641193857,-0.0185761350312245,-0.0187766972509954,-0.0294910326755687
25,-0.0156303579910063,-0.0129245669406619,-0.0110266498280291,-0.01347762134172
26,-0.0148121156175842,-0.014351221095012,-0.0133159937643752,-0.024578034104641
27,-0.0165747558230401,-0.0136954536866769,-0.011769561144079,-0.0168760715035573
28,-0.018281826021285,-0.0167020171618498,-0.0203306839449377,-0.0270796851040374
29,-0.0214627558462881,-0.0202239543960741,-0.0218101664988366,-0.0231675217592427
30,-0.0308463115790258,-0.0131988526001426,-0.0062177624544309,-0.0199130055479788
31,-0.0364185030226902,-0.0368669767246821,-0.0451803001172869,-0.0221123589664095
32,-0.0273644335526384,-0.0266538441448033,-0.0084017058401872,-0.0389637495178504
33,-0.0186177015423131,-0.0189997249767249,-0.0187255916996898,-0.0210571961735763
34,-0.0113278096571195,-0.0113602676250811,-0.0378763242662764,-0.0155491695581106
35,-0.0252373054845799,-0.0202218443154516,-0.0171575232536267,-0.0146340862402202
36,-0.0478605496185513,-0.0703150085573596,-0.0704728443096162,-0.0484478659717078
37,-0.0450290498794765,-0.0567945670812282,-0.032904442699332,-0.0981186299811718
38,-0.0421955567019452,-0.0357852068809577,-0.0265346414516929,-0.0201509669179599
39,-0.0590830079223803,-0.053621177664753,-0.0623703747205766,-0.0610639209504563
40,-0.0631662773385791,-0.0495093601134055,-0.0454976202931226,-0.0543871910588809
41,-0.0710387638178702,-0.0447911494752088,-0.0290990540921639,-0.0268409762823553
42,-0.081731875916859,-0.064385863591545,-0.0637369915277686,-0.0712895280497822
43,-0.0923757111800082,-0.0922532907626499,-0.1036728815508246,-0.0944945619636794
44,-0.1145332589186891,-0.0838428941440957,-0.0880032609900805,-0.0971761534343937
45,-0.0882439303737127,-0.08779455688226,-0.0906947058553893,-0.0989256562217458
46,-0.1168646755137622,-0.1006021761302906,-0.1063142400033125,-0.1132622873963065
47,-0.1128300945859495,-0.0877455229397427,-0.0872123259126841,-0.1031737246138537
48,-0.1287393295099449,-0.1071673371986118,-0.1164374130460606,-0.1203176953390234
49,-0.1563372720567522,-0.1410673741490903,-0.1531726496028817,-0.1543515937338585
50,-0.1751990037840305,-0.1428405176838132,-0.1372427527011755,-0.1515573154647347
51,-0.157014378415216,-0.1406657448069333,-0.1347154081821993,-0.1446404933459739
52,-0.1365776895632728,-0.125891022883603,-0.1275839708401366,-0.1331577742973332
53,-0.1229723678719828,-0.1076841285748143,-0.1013843518888999,-0.103774718018703
54,-0.1005017483002403,-0.0972885563178527,-0.1060499896048282,-0.1247111845751752
55,-0.0832995866029655,-0.0816314156738056,-0.0745412292671636,-0.0843156537204249
56,-0.0775008177224112,-0.0656882764939578,-0.0703520385029443,-0.0719850867121765
57,-0.0543710527391164,-0.0541863404802405,-0.0567335502876038,-0.0583267934784937
58,-0.0637465963869767,-0.0630222892768247,-0.0793830228979958,-0.0727233895663373
59,-0.0548541318249577,-0.0465742982253894,-0.0499944333730611,-0.0549367327345555
60,-0.0741952335127337,-0.070776397599636,-0.0805372052158607,-0.0655541879873147
61,-0.0889844647227019,-0.0807603395725884,-0.0855501414271726,-0.087088673488642
62,-0.1349328636571658,-0.1080576310341276,-0.1297363265501454,-0.0916257802986576
63,-0.1109157158193828,-0.0853066813706253,-0.0890379157687881,-0.0964866331299846
64,-0.0847295949391441,-0.0753740327619837,-0.0746485604440307,-0.0813372671779989
65,-0.0810898621893349,-0.0733588262437744,-0.0758105661138732,-0.089018614228391
66,-0.0710532755664671,-0.0627238388363965,-0.0682989959892076,-0.0723270234544662
67,-0.0647171894799274,-0.0545647912656771,-0.0583022337940913,-0.0753073223479237
68,-0.0500559256154786,-0.0485472745566177,-0.0490564991415335,-0.0610597899004028
69,-0.0726821568847809,-0.0572569927170378,-0.0641280990247892,-0.0702809936261437
70,-0.0782525971776314,-0.0649106643964536,-0.060554782460314,-0.0608236957894862
71,-0.1511830715571896,-0.1430345911396937,-0.1275302669537762,-0.0842069485581588
72,-0.1627674237467727,-0.1456123702378747,-0.1460096053648149,-0.0858108371149029
73,-0.1597937206647779,-0.1303741496011629,-0.142295098861374,-0.0842069485581588
74,-0.1380372988224973,-0.1308555986632238,-0.1173835351185656,-0.12741598239075
75,-0.1160412347255967,-0.1017991233399183,-0.1042611886799546,-0.1146452217099418
76,-0.1037784406159926,-0.0853581306270291,-0.1004016060267142,-0.1122403957481886
