,index,epsW_sonic2,MAD_value_2,MAD_criteria_met_2
0,0,0.0014087885253241577,0.1418031516185056,True
1,1,0.0009200855613364487,0.1513282125374984,True
2,2,0.0009145186307159576,0.1480858490870467,True
3,3,0.0006179900933280464,0.15304819402818398,True
4,4,0.0008727421377099816,0.14750490649392967,True
5,5,0.0005666227982955769,0.14376475080612297,True
6,6,0.0006748426528371479,0.15402701640354222,True
7,7,0.00047428300196384563,0.14489825445508286,True
8,8,0.0005765981323781279,0.16119392796838697,True
9,9,0.0011203987576948874,0.14474323605531775,True
10,10,0.0009061089857833801,0.1429271268692683,True
11,11,0.001007724805130014,0.1501334292335351,True
12,12,0.0007235285982981863,0.14072729705173234,True
13,13,0.0008375759752632547,0.14161026186514564,True
14,14,0.0005694597135356926,0.17098663805219266,True
15,15,0.00036678178929729706,0.16354998741430038,True
16,16,8.808782592177287e-05,0.21406304820444194,True
17,17,5.300656539455353e-05,0.45929026337244977,True
18,18,1.3381788643444865e-05,0.1769741210482396,True
19,19,8.153457713443351e-05,0.177800795830277,True
20,20,0.00013736160094749507,0.16023620648020137,True
21,21,0.0002946155316697224,0.1779752857708082,True
22,22,0.0002874358474308003,0.16683465816479284,True
23,23,0.00025082823280688773,0.1676433427984533,True
24,24,0.0007387014714941788,0.15933530198382306,True
25,25,0.0007109438070720633,0.1659936981019626,True
26,26,0.0006836681508719493,0.19857019584446559,True
27,27,0.0008337701488458139,0.16818290142188405,True
28,28,0.0010161222314731299,0.17530323019416638,True
29,29,0.0010027863986214504,0.17139441320227491,True
30,30,0.0017760662519389194,0.17064016251594688,True
31,31,0.003503978342910034,0.14682330209530411,True
32,32,0.0016419863633374946,0.1731587726548281,True
33,33,0.001289463482837879,0.16566717107235981,True
34,34,0.0017110090003024413,0.18320315699864448,True
35,35,0.0015227720039419053,0.16327695272993237,True
36,36,0.0038391577894439756,0.15747020486884367,True
37,37,0.0038027020055509133,0.16188096351247655,True
38,38,0.003700101664630023,0.15679526344843947,True
39,39,0.004683617454782098,0.1304009945988996,True
40,40,0.004426229092950233,0.14898485839083045,True
41,41,0.003943769653066797,0.14445292112966018,True
42,42,0.006230104936191943,0.1443629423563863,True
43,43,0.008604295940759565,0.14032903417926007,True
44,44,0.008380512265743717,0.14343285876565734,True
45,45,0.007822876780583882,0.14157106421489676,True
46,46,0.008360009537558845,0.14950540744454557,True
47,47,0.010825369578508614,0.14076266560372014,True
48,48,0.010995587296754197,0.14629215723013672,True
49,49,0.01433456789421614,0.1326816786601051,True
50,50,0.018276177785333164,0.134552306649561,True
51,51,0.015336426630995976,0.13387388673394665,True
52,52,0.012964091220158853,0.1361975143595154,True
53,53,0.010744888626299827,0.13813736962860057,True
54,54,0.010676177809022526,0.14164659397125287,True
55,55,0.006675598503684881,0.15545578576743124,True
56,56,0.005510866529569662,0.1495273905743674,True
57,57,0.003506713463330641,0.1575471972442167,True
58,58,0.005173104992474282,0.14698006864282015,True
59,59,0.0041757545107698555,0.14142028111006863,True
60,60,0.0064831051152989365,0.1416681566904312,True
61,61,0.007303973479700323,0.15169170162755652,True
62,62,0.009040648816390455,0.14660609541975753,True
63,63,0.011693722767449961,0.1336131482845963,True
64,64,0.006219848904168419,0.14181578732678843,True
65,65,0.006989616781386142,0.14060474730671785,True
66,66,0.006044687901054545,0.14716331661823095,True
67,67,0.004946972219079426,0.14652629141427256,True
68,68,0.0034583188035781664,0.13984997839120827,True
69,69,0.003906909972557861,0.14570103913890955,True
70,70,0.005445995577812004,0.15031216663799407,True
71,71,0.012575787340890045,0.14157673337486645,True
72,72,0.017435430653373385,0.13854530953287267,True
73,73,0.014243635270339795,0.14487786392055582,True
74,74,0.012237526795610899,0.15195738553926982,True
75,75,0.010036143483250716,0.13917999936073583,True
76,76,0.008660238941498095,0.13903731236238628,True
77,77,0.005496744015226684,0.14084465814512936,True
78,78,0.006168584148667148,0.13598839885251507,True
79,79,0.006023471967208916,0.1377518608254913,True
80,80,0.00612716429600983,0.14379510000469012,True
81,81,0.009117948120110526,0.14124658480875446,True
82,82,0.01776975981809034,0.13616940326626875,True
83,83,0.019930301005680686,0.13464098700151206,True
84,84,0.018678670782297752,0.13646295168245054,True
85,85,0.012761634040437831,0.14017127042677474,True
86,86,0.006963172574348633,0.14024817827830338,True
87,87,0.013081354055111516,0.1441898505335649,True
88,88,0.020735715477976816,0.1336416262975806,True
89,89,0.022006696790069127,0.1401089785581267,True
90,90,0.0283235585122543,0.1419431523554016,True
91,91,0.010485906965112977,0.14284995242963622,True
92,92,0.007196497062376196,0.142380875727182,True
93,93,0.00460595169794904,0.1522488245355273,True
94,94,0.0038322876639333165,0.14541837967421462,True
95,95,0.00787454399871882,0.1465219167434402,True
96,96,0.005331552507190617,0.15271869113366016,True
97,97,0.005395939031531615,0.143665165732853,True
98,98,0.006893019574385635,0.15395382502142765,True
99,99,0.008265706195969951,0.1399783958025767,True
100,100,0.011796588085500052,0.14616603092551722,True
101,101,0.01638994444059048,0.1355374169308048,True
102,102,0.014658778216731607,0.1445875660627175,True
103,103,0.014160081131294133,0.1353059335060582,True
104,104,0.017303043641646233,0.13826962951703808,True
105,105,0.019053857978985105,0.13717959396136004,True
106,106,0.02358055118495299,0.1381869644374998,True
107,107,0.02285866586922916,0.14126217140373112,True
108,108,0.023567386775031732,0.1332139179816495,True
109,109,0.027334338384512935,0.13537459982062597,True
110,110,0.028370129888091088,0.14103282917324447,True
111,111,0.02407855563501525,0.1305737225995801,True
112,112,0.015485307306315173,0.1388756839945894,True
