,index_arr,sigH,T_period,Cp
0,0.0,0.4061295444655415,3.0930029540385693,4.824066765460579
1,1.0,0.4300556061685115,3.117808562027357,4.8626647879876055
2,1.5,0.42833498629466726,3.122520433765059,4.870008605721934
3,2.0,0.426614366420823,3.127232305502762,4.877352423456263
4,3.0,0.44042611038117657,3.086867353686845,4.814461630214789
5,3.5,0.4430281295816665,3.1008377256842574,4.836233285739141
6,4.0,0.44563014878215634,3.11480809768167,4.858004941263491
7,5.0,0.4276926701757508,3.125855255795525,4.875224766108463
8,5.5,0.4350047209683054,3.092031575375147,4.822517604437749
9,6.0,0.44231677176086,3.058207894954769,4.769810442767036
10,7.0,0.4524769512494227,3.101548281028529,4.8373694365880935
11,7.5,0.48431314132587966,3.034685340019124,4.733141109485132
12,8.0,0.5161493314023367,3.0974060291931242,4.8309246061112745
13,9.0,0.4922876143844181,2.998750900295545,4.6771430841723936
14,9.5,0.5041096319229728,3.0339305192474146,4.731994033396058
15,10.0,0.5159316494615275,3.069110138199284,4.786844982619723
16,11.0,0.5164997713486769,3.0775666878068786,4.800034970670295
17,11.5,0.5254012445753244,3.136516628506535,4.8919128041707385
18,12.0,0.5343027178019719,3.195466569206191,4.983790637671181
19,13.0,0.5168193924087937,3.093974332701991,4.825615926483409
20,13.5,0.49381741480951913,3.125045575310016,4.874040831372775
21,14.0,0.47081543721024455,3.156116817918041,4.922465736262141
22,15.0,0.4702595079488977,3.0725415395563997,4.792192407665584
23,15.5,0.48924231734762935,3.0903745140774017,4.819982991736304
24,16.0,0.508225126746361,3.1082074885984037,4.847773575807024
25,17.0,0.5889937873816237,3.3088947420091763,5.160289787719766
26,17.5,0.6106517889036456,3.3657428234810114,5.248601342562867
27,18.0,0.6323097904256674,3.422590904952846,5.336912897405967
28,19.0,0.66073890285002,3.404082892157972,5.308091593286895
29,19.5,0.7110907826584729,3.498923459074942,5.454834161132822
30,20.0,0.7614426624669258,3.593764025991912,5.601576728978748
31,21.0,0.6434347503295272,3.6534382109680084,5.693244212842738
32,21.5,0.6326030932994766,3.72498118097747,5.802518650249429
33,22.0,0.621771436269426,3.401256012467008,5.303355158967491
34,23.0,0.5755859741140249,3.4730367160352937,5.414624919692933
35,23.5,0.5500721007845627,3.401053536586447,5.302980879178534
36,24.0,0.5245582274551005,3.3290703571376,5.191336838664134
37,25.0,0.5669514108895451,3.342912047412136,5.212857373166679
38,25.5,0.6025291742978569,3.4014584883475694,5.303729438756449
39,26.0,0.6381069377061686,3.4600049292830026,5.394601504346218
40,27.0,0.5949906331457225,3.2989169356766763,5.144623961431548
41,27.5,0.6129490041390688,3.325312685707669,5.18570067665886
42,28.0,0.630907375132415,3.351708435738662,5.226777391886173
43,29.0,0.6625400062433745,3.3646092908248284,5.246911072200414
44,29.5,0.6680554261407325,3.4704174744554406,5.411055841281483
45,30.0,0.6735708460380907,3.5762256580860527,5.575200610362552
46,31.0,0.8326351557490076,3.398257915521425,5.2993123750457505
47,31.5,0.8475565983140683,3.4206231525213795,5.334037256174126
48,32.0,0.8624780408791288,3.4429883895213336,5.3687621373025
49,33.0,0.48191795563115347,3.8523228118447355,5.999340776305021
50,33.5,0.4663316950898576,4.050375049090025,6.294710746115137
51,34.0,0.4507454345485618,4.248427286335315,6.590080715925253
52,35.0,0.3930918533469125,4.153184846493515,6.4502465822914985
53,35.5,0.37265270394301775,4.25416775965136,6.597031690073402
