,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
40,7.286171591618129,7.314356818478615,7.3205453438775265,7.308393072330199,283.9335552083333,283.92999999999995,-0.0495093601134055,-0.0156410933434612,-0.0074498252662195,0.0043973192715833,0.5799389451239353
41,7.227682620918155,7.249424786901347,7.255679591672378,7.17028773815656,283.7829453124999,283.77,-0.0447911494752088,-0.0107731724151052,-0.007205978341671,-0.0170029947971778,0.8188086358700561
42,8.041809732142887,8.066850024836073,8.074152641400248,8.034709197756307,284.0875731770833,284.09,-0.064385863591545,-0.0253291809709173,-0.010452520192701,-0.0026122148334676,0.645364436636183
43,8.827536345640073,8.844295833658721,8.852441088531474,8.8231083282842,284.14901328125,284.14,-0.0922532907626499,-0.0164352530569261,-0.0130079365634022,0.0141556007275565,0.5913190376818084
44,8.875112522247129,8.8921127424003,8.899904484890586,8.863185119883518,284.08227447916664,284.07,-0.0838428941440957,-0.0188786300240668,-0.0147370862541268,0.0089426909562696,0.5907892740193345
45,8.469803807606029,8.495673016189533,8.503746276125849,8.462526509758412,283.886325,283.9,-0.08779455688226,-0.0146077831194176,-0.01083866214167,0.0062408846997345,0.6257482420387437
46,9.042508184314244,9.061290884483492,9.069612711410818,9.059588449136296,283.714315625,283.72,-0.1006021761302906,-0.0106019970357305,-0.0124284634223474,0.0192582568115868,0.631990437112325
47,9.456878094552524,9.472789024271991,9.481316759553785,9.46562357399248,283.82636171875,283.85,-0.0877455229397427,-0.0183219157597013,-0.012912011295787,0.0173517311598536,0.5947773327964613
48,9.24960026105071,9.267340668788997,9.276460677976871,9.231948233413585,283.92092708333325,283.92,-0.1071673371986118,-0.0116638567988295,-0.0152227131353148,0.0195025539061863,0.7137981611875406
49,9.99127126233548,10.010832410268703,10.021013606278771,10.009695699044771,283.9546661458333,283.95,-0.1410673741490903,-0.0186675064945713,-0.0167313538089157,0.0190421320501461,0.8325089934041003
50,10.596969588074716,10.617638438456916,10.62826085309302,10.584513271821022,283.86306510416665,283.85,-0.1428405176838132,-0.0190711972683638,-0.016157737416737,0.0283586923898875,0.8556915867066786
51,10.177849874832711,10.201261939991875,10.211689757409175,10.213819147050213,283.73436888020825,283.73,-0.1406657448069333,-0.0327183859368547,-0.0138438855990403,0.0389102120363516,0.8234800958128101
52,9.944027109868252,9.9636762930114,9.973093903677148,9.953106171274596,283.64227630208336,283.64,-0.125891022883603,-0.0229255136730603,-0.0131780154295567,0.0245684182344478,0.7316434081517875
53,8.96679450597449,9.011504108993764,9.020432175735245,8.921864318615691,283.587775,283.58,-0.1076841285748143,-0.0184947111271363,-0.0128010221452653,0.0112471029454102,0.8957586366255358
54,8.59903692872879,8.63330202102531,8.64245723621817,8.600495416235896,283.4801455729167,283.48,-0.0972885563178527,-0.0340535128931668,-0.0107415567335579,0.0123052831580925,0.7045638970663791
55,8.04316170791713,8.058045742704305,8.06559144739946,8.021066084391691,283.2868841145833,283.28,-0.0816314156738056,-0.0168938024631675,-0.0062657564954976,0.0091455263577992,0.4622617671470472
56,7.485217871608471,7.499787524222202,7.506721982179118,7.43899529258888,283.26244296874995,283.26,-0.0656882764939578,-0.0113012463243676,-0.0044077900007813,0.0043470378766082,0.4520656381155734
57,6.871653020674403,6.886305557113459,6.891664116547699,6.880670442352537,283.1582375,283.15,-0.0541863404802405,-0.0085352729377265,-0.0027481980265069,0.0066726822850667,0.3404385868414307
58,6.830524512897643,6.849734382090199,6.856018307079841,6.850119046275365,283.3338114583333,283.33,-0.0630222892768247,-0.0174211636515891,-0.0033581370103189,0.0027107610688728,0.4739114664696925
59,6.813597217939432,6.831872573952665,6.837839120173021,6.827250203789426,283.3890578125,283.38,-0.0465742982253894,-0.0112537591867762,-0.0041615129317436,0.0058347229523274,0.351623292104187
60,6.995439326473335,7.027251348030964,7.034713824547146,6.924031270950163,283.45816484375,283.44,-0.070776397599636,-0.0214213815232725,-0.0071572457585674,-0.0091286913339615,0.6638543170488485
61,7.596506641171834,7.619775279437219,7.627350127333038,7.556257304391935,283.430734375,283.41,-0.0807603395725884,-0.0199907998671125,-0.0070916105479372,0.0002789190145649,0.6001344324783664
62,8.385549135431472,8.428453105919738,8.436809231862341,8.448038246556495,283.2926169270833,283.26,-0.1080576310341276,-0.0336777438037884,-0.0054322953548578,0.00671375640868115,0.5067094396106804
63,8.741430673080028,8.760081153691642,8.768917411700704,8.736471364248398,283.0202934895833,283.02,-0.0853066813706253,-0.0272999070188358,-0.0049004256845387,0.0227457235354255,0.5727271436353556
64,7.305987427582147,7.32002539557845,7.32720937006196,7.292017248218336,282.83673333333337,282.83,-0.0753740327619837,-0.005424444497365,-0.0017127408280272,0.0067548305322956,0.4374497366808404
65,7.485112613402797,7.501154844489071,7.50878228985747,7.483886347410163,282.82475624999995,282.82,-0.0733588262437744,-0.0143796001459619,-0.0030513622983859,0.0099839760377646,0.4352198268167453
66,7.336351654113248,7.3512366142826115,7.358537110831079,7.351580386932706,282.87847135416666,282.88,-0.0627238388363965,-0.0147619237130444,-0.0042813267210894,0.0130804983073867,0.3800135406704711
67,6.664633187039415,6.686309441366056,6.69321216324565,6.626863060826957,282.8882098958333,282.89,-0.0545647912656771,-0.0203827169321721,-0.0036292702930428,0.0020228137570743,0.4362289268546209
68,6.154799325902386,6.165796285323774,6.171796604597301,6.144564426544766,282.8395731770833,282.82,-0.0485472745566177,-0.0041076969908575,-0.0030395321396466,0.0064634333964218,0.2530274921587117
69,6.277748667238615,6.306635708603187,6.313469027678233,6.145064366981838,283.14400885416666,283.06,-0.0572569927170378,0.0024002821389036,-0.0057791345582373,-0.0138430411439601,0.8542279563432142
70,7.378003496145284,7.398244167163998,7.404928286289035,7.371811194067852,283.4593947916666,283.44,-0.0649106643964536,-0.0023147117009447,-0.0080931877047525,0.0086862679108033,0.5395074127516684
71,9.027857094867365,9.046404319889357,9.056455645691084,9.07652584538434,283.79041640625,283.79,-0.1430345911396937,-0.0085283124934421,-0.00705399502541175,0.0163506813011285,0.8860602636285739
72,10.070229314573949,10.09795647546584,10.10883356946298,10.078632006842234,283.8872677083333,283.88,-0.1456123702378747,-0.002197867208156,-0.00705399502541175,0.0316801291775615,0.9874704130313452
