,Ubar_s1,Ubar_s2,Ubar_s3,Ubar_s4
5610,5.301844917836116,5.4821398346647445,5.6798749292597,6.045563935375462
5611,5.223927195839281,5.404250953864026,5.630214948102215,6.02116206318913
5612,4.593915995591032,4.76535274887872,4.95028729894681,5.2547565302331405
5613,4.06583683507756,4.230468673023244,4.394647812463656,4.650018874263748
5614,4.54876752099576,4.733695443367178,4.924907433230292,5.230863954121304
5615,4.601156097567561,4.809204725909831,4.994262283173785,5.291494973151081
5616,4.3793674543804,4.570264421248221,4.7458388241039255,5.035145066725276
5617,4.4285761841999465,4.634559584801028,4.8241936414530775,5.138258733948767
5618,4.564831079565691,4.764397726603544,4.963081741974509,5.264026451311972
5619,5.164537399114382,5.412915745125269,5.662322149116833,6.025910491784149
5620,5.287395514217393,5.528967596823316,5.76969275383861,6.158135548655437
5621,5.396308627835194,5.635028879813242,5.903944484672621,6.282383850342332
5622,5.324196241345292,5.561071078621926,5.794021018970833,6.167661621522858
5623,4.956526203726816,5.185996387365035,5.422516110381422,5.764391711260095
5624,4.746140681392897,4.940359029929804,5.161103312098424,5.495032018150996
5625,4.775867389873199,4.98623511728704,5.2129262279362125,5.564895462389498
5626,4.743169869587596,4.9243755648392975,5.096203777965116,5.41593225123471
5627,4.629434937720783,4.830443097978581,5.0383235082082765,5.355118134774
5628,4.185425188248399,4.347383533341732,4.521641108875424,4.8038483457520025
5629,3.6895744581235976,3.858340285185166,4.032863795824736,4.20649777088986
5630,3.6063992580148594,3.748343360597359,3.916464635177132,4.046527055981417
5631,3.898968163254688,4.06054773295936,4.221946459313805,4.441239700285572
5632,3.707654224450762,3.8453330386765687,3.992930232173967,4.248288762335659
5633,3.339145524901133,3.456780448741968,3.5951847094682194,3.857445938902008
5634,3.262760645787618,3.37960345034652,3.507569449041324,3.758314056201205
5635,2.917858853208503,3.042106289186199,3.1747540217385923,3.3243322399932125
5636,3.876721698666591,4.023665014367748,4.170127126479302,4.413074393479927
5637,3.854266486807615,3.9974013078094623,4.170847283852255,4.409857861212833
5638,4.113369717748032,4.277852255173351,4.461400282035699,4.755892059228465
5639,3.1974104411941013,3.3327570458549074,3.46824957744124,3.65412858783086
5640,3.350881094858721,3.4759675620922006,3.6274328210284974,3.851524761859605
5641,3.6585774344744446,3.80601438638703,3.951543092143279,4.213983504687221
5642,3.5323196178620098,3.6662721198258352,3.8116276218086926,4.079911352076321
5643,3.404338392996021,3.524681993946544,3.682970889100115,3.980209525786579
5644,3.1112227625414843,3.225588125645162,3.3503414221597487,3.634519346345261
5645,2.6381016800431776,2.7505087785199795,2.884432673806967,3.199752585771011
5646,2.7805570031018823,2.907584754895323,3.035074910690153,3.346790026434044
5647,2.5452606520244503,2.63186237009854,2.706324599736564,2.937284480981828
5648,2.606660111924616,2.6975979818758846,2.7841889983531627,2.979285089211519
5649,2.4589731744557737,2.5449229172631007,2.627391051878537,2.8491983113364987
5650,2.403031363249467,2.471854099519869,2.529094587048918,2.7444232233006947
5651,,,,2.141106554306517
5652,2.4445086192744747,2.522518653406539,2.572549759395572,2.7843136583112504
5653,2.874331927436786,2.9653743619233395,3.0501099766481032,3.2751749131100625
5654,2.926418113866485,3.0451349426394323,3.147573154323368,3.379883348165313
5655,2.8298735875925733,2.917239963998707,2.977045199325693,3.209066225692228
5656,2.946650190062236,3.063839979322213,3.1297746368276,3.4214171899101298
5657,2.802816806545602,2.895130360133628,2.957019397252847,3.233305047008455
5658,3.0762049205242223,3.176446319921844,3.239281299868207,3.5521883280827016
5659,3.2212288730558325,3.348846185262215,3.453915002913542,3.754056012264893
5660,2.808692904842259,2.923628583743625,3.0092139494489243,3.217039162022425
5661,3.4074658083466502,3.5329586657432106,3.6637274366984633,3.919059447923692
5662,3.745633131235192,3.877074564131025,4.020102460366084,4.266654439717038
5663,3.456543844932132,3.6091934438188153,3.759744704170613,4.001512951474477
5664,3.246092687489747,3.378249569862733,3.500657738255596,3.7266176887928273
5665,3.614056705035975,3.733003021617041,3.8682048697492513,4.137781502622523
5666,4.303303208140792,4.482714223757395,4.672548006123073,4.955442813959299
5667,4.294912394908251,4.475458110666374,4.650012627327618,4.89514542080378
5668,4.257082781432268,4.420260800692478,4.602805596337321,4.86105203164002
5669,3.6845532462041257,3.835688269498817,3.995097296526569,4.151947665579112
5670,3.3212234027994088,3.483359771294296,3.683428162623714,3.7978121115405776
5671,3.81636319000018,3.968271281915022,4.159033522162896,4.433718918355757
5672,3.455176801619224,3.585190704837775,3.732220460766639,4.003879023665595
5673,3.731809050202924,3.9023690630531753,4.1064222689035725,4.337798243002139
5674,4.53905959801027,4.705280155090067,4.896348397263976,5.102685887729989
5675,4.451131070097496,4.642099374373623,4.842169461163009,5.147915969092752
5676,5.280167452223371,5.475758157883551,5.707739282584262,6.064318110518131
5677,5.064398391903851,5.256555495477276,5.449679554530547,5.796726860973476
5678,5.966485019867959,6.220285258726405,6.490871437831052,6.891196939510724
5679,5.937805657709736,6.1686085123560455,6.413018322078088,6.833114967628358
5680,5.411613007643451,5.600592074322727,5.798702971615177,6.1402958593155565
5681,5.676854445532475,5.901843310417065,6.149636588491183,6.563233839941034
5682,5.474253924929496,5.647850737298835,5.871068555100814,6.279786542177376
5683,6.042418910282754,6.281344937299084,6.534940603327056,6.999153301135252
5684,5.886458344745281,6.0967128922647,6.36212472988767,6.896774703541678
5685,5.099724735892239,5.2792274673768205,5.484961011536273,5.999763656115574
5686,4.917819006144381,5.1079647450184416,5.270137797715371,5.7052643014477376
5687,4.678667706814238,4.800797204927104,4.895322824244315,5.30144731156181
5688,4.526456768220831,4.681957137631458,4.782846866176945,5.181904045542297
5689,3.4927448969802346,3.5682967787480524,3.620192117795916,3.976519018915568
5690,3.578351273690708,3.64393415894299,3.6941427868509655,4.029606768602928
5691,4.177696139764861,4.3148203097674775,4.424445742799607,4.8069874328601925
5692,3.84891723568766,3.95243795687369,4.021998015121761,4.396200790151687
5693,3.390449897589332,3.455444780176199,3.494986909171667,3.814397402581172
5694,3.2148626035804977,3.269887090753784,3.300175675715992,3.629202931376128
5695,3.302741080666671,3.3608874514426588,3.4279227827918293,3.764928661639106
5696,3.289880407015,3.347814954540296,3.437785180477829,3.766554546058321
5697,3.146746598020425,3.18968517230298,3.2823220099761774,3.576446545242581
5698,2.474588824627981,2.4873783028048155,2.515829087482826,2.7771595032424945
