,rho_bar_1_dry,rho_bar_2_dry,rho_bar_3_dry,rho_bar_1_moist,rho_bar_2_moist,rho_bar_3_moist
0,1.2539503130737537,1.2540189180304426,1.2538382568467696,1.2494749330096344,1.2495432931135153,1.2493632767141303
1,1.2546931175955038,1.2547538555990725,1.2545379820335227,1.2502488449925413,1.2503093678548605,1.2500942589392154
2,1.2551322003313987,1.255191453789375,1.2549113645608472,1.2506965210934364,1.2507555651477074,1.2504764657638954
3,1.2556368882295845,1.2556939421536892,1.2553953069775408,1.251194917699617,1.2512517697884207,1.2509541910710813
4,1.2556092163227413,1.2556678807314605,1.2554008734391875,1.2511557383554373,1.2512141946893445,1.250948134436228
5,1.2556086535499098,1.2556671913942212,1.2554897680443489,1.2511270069108575,1.2511853358159166,1.2510085457435849
6,1.2556391920848866,1.2556973331315873,1.2554097817198606,1.251103541478381,1.2511614725065705,1.2508749597950877
7,1.2559133936627158,1.2559706864585414,1.2556616919260897,1.2513781190685358,1.25143520497226,1.2511273262612175
8,1.2554588389517773,1.2555176005248785,1.2552712950092864,1.25092724977382,1.2509857992465316,1.2507403827727577
9,1.2554109728948184,1.255470899483416,1.2552770502267088,1.250928450502252,1.250988163119265,1.2507950060132982
10,1.2558232300329533,1.2558815234024454,1.2556388242294092,1.2513611755762855,1.25141926182412,1.2511774249833778
11,1.256344012165838,1.2564005019890143,1.2562022070541088,1.251845998705403,1.2519022862814377,1.251704701290049
12,1.2561150783906376,1.2561742602080157,1.2559974946563213,1.251582186249945,1.2516411545002706,1.2514650268353382
13,1.257411292252924,1.2574620088711626,1.2573721781588971,1.252786660396996,1.25283719048463,1.2527476901606605
14,1.2569232695735761,1.256977453812861,1.2567699467760123,1.252271809296379,1.252325793017587,1.2521190538961413
15,1.2558176953771016,1.2558717155859556,1.255788351569259,1.2511249891061702,1.2511788074537398,1.2510957549494905
16,1.2563697964006235,1.2564243273163624,1.2560651237584066,1.2516709529634573,1.251725279932686,1.251367419801869
17,1.257206177558703,1.2572603074362603,1.2569004314219354,1.2525018913561297,1.2525558186874057,1.2521972892777977
18,1.2574191308277642,1.2574733110686083,1.257166404322179,1.2526994641624583,1.252753441040183,1.252447686254548
19,1.2574489205425674,1.2575030015759838,1.2573800937049933,1.252709294483628,1.2527631716726806,1.2526407270708841
20,1.2571586562922226,1.2572122619855461,1.2569761759857294,1.2523553986119882,1.2524087994926916,1.252173615512589
21,1.256370493032757,1.2564242632410179,1.2562548575334516,1.2514769784837652,1.2515305392591414,1.2513617933802634
22,1.2558118214256442,1.2558660578983312,1.2555718649965826,1.2508819499550021,1.2509359735145482,1.2506429355097102
23,1.2553736512797051,1.2554282899940146,1.2551397282479169,1.2504377983415942,1.2504922222285029,1.2502047950436899
24,1.2547238631985542,1.2547799635303671,1.2544099039132295,1.2499701015294402,1.2500259893144015,1.2496573317389994
25,1.2538377548913984,1.253891956330568,1.2534999014817063,1.2493603556650412,1.2494143635532662,1.2490237087149483
26,1.25231255378089,1.2523663291303069,1.2519466690502228,1.2481252818481408,1.2481788773925955,1.2477606205012517
27,1.2509954565334582,1.251051599311973,1.250496835646541,1.2469837799656431,1.2470397427061986,1.2464867580499432
28,1.2485960167111636,1.2486538073293363,1.2474730987803537,1.2449036356494696,1.2449612553677025,1.2437840384411722
29,1.2465156070036136,1.246573768200019,1.244862051879035,1.243038671584926,1.2430966705509328,1.2413897287607043
30,1.2441061949151195,1.2441644248440145,1.242609288829031,1.240973325495565,1.241031408791669,1.2394801888716978
31,1.2407446422023274,1.2408029263062532,1.2390053129310197,1.2379301881948108,1.2379883400894776,1.2361948043463336
32,1.2408480533730837,1.24090612867458,1.2386600246194976,1.237936510998412,1.2379944500312485,1.2357536162645921
33,1.2396857024629144,1.2397441561613396,1.2380408143698283,1.236880486289492,1.2369388077162777,1.2352393203226453
34,1.2380038646699663,1.2380576322721928,1.2364364470715845,1.2353576490476172,1.23541130172236,1.2337935817820205
35,1.236866285284254,1.2369186161092915,1.2350932996721593,1.2342661474249697,1.23431836824025,1.2324968889797232
36,1.2357906245785462,1.2358368916244793,1.2342684133871813,1.2332296438297938,1.2332758149945868,1.231710587180533
37,1.2378986330523827,1.2379507229488682,1.2366351010744547,1.2350018338074862,1.2350538018087138,1.2337412586132415
38,1.2486005225025434,1.2486697344738784,1.2480846502886898,1.2448717797944036,1.2449407850754253,1.2443574481491475
39,1.2493266607006264,1.2493968559381132,1.2488336952206014,1.245407634297635,1.2454776093389173,1.2449162152063913
40,1.2485283407029493,1.2485967427632063,1.2480145019348459,1.2447747674074479,1.2448429638238774,1.2442624734432668
41,1.2490261995356204,1.2490936080982815,1.2485524830340153,1.2451662787266102,1.245233478973614,1.2446940261720247
42,1.2473999987319901,1.2474683058366123,1.2469312200496312,1.243682538449079,1.2437506419871236,1.2432151568054686
43,1.246710456180153,1.2467814078560444,1.2460712145401678,1.2431187951440013,1.2431895424144765,1.2424813951018625
44,1.2466247248547198,1.2466952635024828,1.2459712984150664,1.2429518428935706,1.243022173716058,1.2423003416188327
45,1.2473841755570836,1.2474554087600631,1.2467360219870587,1.2435329402546684,1.2436039535287509,1.2428867878258791
46,1.247903540633907,1.2479760254356163,1.247333412678144,1.2439863679942866,1.2440586252660044,1.2434180296717419
47,1.2475196533798427,1.247594671197326,1.24688763809753,1.243811771133695,1.2438865659829605,1.243181634329399
48,1.2469747445388426,1.2470482253328297,1.246324561764408,1.243311474789065,1.2433847397166353,1.2426632020732742
49,1.2467207507993014,1.2467986682603682,1.2461445680111265,1.243131837743481,1.2432095309049256,1.2425573136025454
50,1.2470680168265031,1.2471487069589247,1.2465312215609106,1.2434303509374107,1.2435108056987554,1.242895121490042
51,1.248288781172142,1.2483635524748096,1.2477821662750794,1.2445209152216554,1.2445954608327607,1.2440158295036174
52,1.2488539989485101,1.248928718588146,1.2483817349986959,1.245010951976407,1.2450854416843733,1.2445401413049935
53,1.2492335899929428,1.249285259155949,1.2487617353608915,1.2452654415850504,1.2453169466227012,1.2447950857833394
54,1.2499043977761313,1.2499428570755633,1.2494523632641992,1.2458583391666371,1.2458966739696837,1.245407767933122
55,1.2509513189904566,1.2509914516008869,1.2505772249329914,1.2468333458414897,1.2468733463404544,1.2464604832542348
56,1.2512282841927374,1.2512698946395264,1.2509051342870523,1.2471046883507095,1.247146161664517,1.2467826034302267
57,1.2517453740690967,1.2517880007583517,1.2515469728527597,1.2475678245729565,1.2476103090007677,1.2473700854967946
58,1.2517438889867991,1.2517818636420888,1.2515299523006005,1.2476421551658177,1.2476800053851669,1.2474289195106758
59,1.2515055251775569,1.2515443528265215,1.2512713039454646,1.247432999128138,1.2474717004279907,1.2471995400757165
60,1.2515706904615351,1.2516066134306054,1.2512544703732456,1.2475458173244791,1.2475816247703957,1.247230614154969
61,1.251644705137272,1.2516822376566794,1.2513860233128913,1.2475764605448576,1.247613871071603,1.2473186195189305
62,1.2531423689839207,1.2531738149589684,1.2529152758120232,1.2489359523863102,1.2489672928068136,1.2487096214969042
63,1.2544001806091123,1.2544329692782366,1.2541357176506784,1.2501006515769089,1.250133327860977,1.2498370950805318
64,1.2554234866507474,1.2554624854865002,1.2552413158823121,1.2510557855449584,1.2510946487011898,1.2508742485606412
65,1.2561066232385212,1.2561437108553235,1.2558610765014973,1.2517246703664695,1.251761628602385,1.2514799802241086
66,1.2557722854488822,1.2558104585148173,1.25554427660885,1.2513907849244976,1.2514288248012306,1.251163571627466
67,1.2556509807550613,1.2556927216573819,1.2554190402131367,1.25126290196256,1.251304496994435,1.2510317719749924
68,1.2555242829414905,1.2555706954209014,1.255281927757868,1.2511546042550545,1.2512008552022473,1.250913092555142
69,1.2540492329879276,1.2540984345854769,1.2537713629125085,1.249868125190705,1.2499171627459043,1.249591181557971
70,1.2518867006804733,1.2519366479313927,1.2515914819816965,1.247955597297753,1.248005387707157,1.2476613056279355
71,1.249820417992243,1.2498655908665879,1.2494692922483022,1.2460867631147612,1.2461318010417806,1.2457366863073933
72,1.2489207987166373,1.2489646848428875,1.2485191902150585,1.245226983186283,1.2452707395146672,1.2448265624843802
73,1.250274618508916,1.250316406564315,1.2499960494049955,1.246442055420827,1.2464837153800812,1.246164340236237
74,1.2512289323637908,1.2512695650463241,1.2509402149383864,1.2473083323914018,1.2473488377555124,1.2470205196330018
75,1.251710915087538,1.2517494952319579,1.251454053376635,1.2477130781524033,1.2477515350757784,1.247457036831594
76,1.252103281982094,1.2521449079522142,1.2519475040460946,1.2480430105107465,1.2480845014978015,1.2478877377253355
77,1.2523240710765697,1.2523637941036307,1.2521651012980344,1.2482311496980696,1.2482707428999276,1.2480726994741926
78,1.2526158895884396,1.2526561562893455,1.2523173136003087,1.248508775723326,1.248548910396587,1.2482111787149375
79,1.2523976108928978,1.252442328241204,1.2520894266630804,1.2482901507404573,1.2483347214302862,1.2479829772554965
80,1.2517071471807415,1.2517514315842904,1.2514192043286045,1.2476610367669378,1.2477051780223174,1.247374024682493
81,1.2518202534137155,1.2518659222602082,1.2515396839574842,1.247753700608681,1.2477992210993891,1.2474740425856257
82,1.2517470533452368,1.2517991490172358,1.2514330295675336,1.247710364902994,1.2477622925746,1.2473973538028524
83,1.2515761946119783,1.2516317375644233,1.2512830866867162,1.2475861995492556,1.2476415654320927,1.2472940260450698
84,1.2509086556991573,1.250962182919767,1.2506480412843528,1.2469791764231442,1.2470325354986993,1.2467193806763834
85,1.2518265995738314,1.2518727682950666,1.2515615034031364,1.2478161237423229,1.2478621445528644,1.2475518768600085
86,1.252191241448926,1.2522362243904628,1.25184624102784,1.2481518164337613,1.248196654265499,1.2478079289443782
87,1.2511947846884812,1.251246484658287,1.250902146690891,1.2472296828938043,1.2472812190236984,1.2469379722813532
88,1.2505401852723668,1.250597718299238,1.2502730432462557,1.2465790320935375,1.246636382881457,1.2463127362541369
89,1.250696899062695,1.2507560342914412,1.2504044662293954,1.2467079925880975,1.2467669392140757,1.246416492424594
90,1.250621851244299,1.2506829159317105,1.250326646805354,1.2465959199615104,1.2466567880729265,1.246301665828035
91,1.251766776746005,1.2518131868563098,1.251449764489794,1.247675692376265,1.2477219508068156,1.247359716194753
