new_index,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
0,5.970983053686955,5.9941973341045705,5.999500146786541,6.043309018003294,281.6582127604166,281.65,-0.0412614422047082,0.0043864781936026,0.0090097372136185,-0.00043426397727815,0.3198698435336983
1,5.468543309862474,5.500792410359039,5.505238413702912,5.46220191648418,281.66681979166657,281.66,-0.0145929102778487,-0.00736469681031675,0.0065008483567478,-0.00043426397727815,0.3850186419687229
2,4.929272481039967,5.004941043729246,5.009855276752895,5.0349616234878685,281.63977421875,281.63,0.0049519004084035,-0.0083493918080158,0.007285735584123,-0.00043426397727815,0.6762148565905083
3,3.801092987119544,3.8260317641765114,3.831452467366279,3.6175859504135897,281.6423721354167,281.62,-0.0167662672288162,-0.0066286513653542,0.0062888027309719,0.0027228784271036,0.3661299883820936
4,4.543435224807346,4.570542101089177,4.575491498204739,4.568615932533342,281.60944869791666,281.59,-0.0304359118982824,-0.0158778683553201,0.0068358734657104,0.0039730015172764,0.2495314810463459
5,4.260526254580955,4.29562211476305,4.3000226732046265,4.332005075234017,281.6092354166667,281.6,-0.0119614770901156,-0.0106108794268689,0.0044306273236125,-0.0013812693336227,0.2805769331745741
6,4.640422793438794,4.660567286328018,4.665388201321141,4.656891281205835,281.65049453124993,281.64,-0.0319586853797805,-0.0214489382665123,0.0066723779396923,-0.00043426397727815,0.2101200708069525
7,4.092555179057241,4.143803389106403,4.147940781523082,4.063197567426245,281.6570286458333,281.65,-0.0293627387025023,-0.0083493918080158,0.0029231304422983,0.0015556964183477,0.3283154007015991
8,4.144445444511686,4.191251895222331,4.195753162701727,4.047551290577244,281.71746249999995,281.71,-0.0176787731036694,-0.00736469681031675,0.0051966485186953,-0.0021852855069145,0.3695932189341566
9,5.119738981817428,5.136125471424903,5.140769348833238,5.085210858890987,281.7276234375,281.72,-0.0205225516805602,-0.022710036002039,0.0046076446545357,-0.00043426397727815,0.2411308841910129
10,5.116629872061188,5.138606148391907,5.143238692740198,5.119526570204716,281.75064921875,281.73999999999995,-0.0408628805101313,-0.0279946747895312,0.0062025222259855,-0.00043426397727815,0.2691062328455268
11,4.771161995927803,4.786317502872913,4.790989867408169,4.792193214795563,281.79487552083333,281.79,-0.0188259727130983,-0.0190271593608066,0.0039216658440893,-0.00043426397727815,0.1837220689101495
12,4.20648755721425,4.243549091382179,4.24810610531186,4.10603938065156,281.83211692708335,281.83,-0.0076845512754178,-0.0146499811825629,0.0036448941010959,-0.0027449732088674,0.3547860551223415
13,4.5867103761754455,4.726821386146688,4.73072986259293,4.706764881492863,282.01875703125,282.02,-0.01523675850900095,-0.0083493918080158,0.0012701801610469,-0.00043426397727815,0.22756366268493644
14,3.6608706641378657,3.753739382742095,3.758411115412632,3.566461856934259,282.0184682291667,282.02,-0.0337664935480442,-0.0083493918080158,0.0036826851604776,-0.0004322245308061,0.500726603306003
15,3.367842799292512,3.4018925606790344,3.405818209245337,3.3655877381587525,282.0811708333333,282.08,-0.0243276359440705,-0.0273441978191937,0.0016823241100104,0.0007856977480841,0.2449622130099826
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,2.363525187204424,2.420010148448157,2.4216667002612957,2.4967691460106263,282.12709661458325,282.13,-0.003030018547727,-0.0150708539983478,0.0006902640625141,0.0002746174524111,0.2211834782111612
20,2.6946173142982857,2.713743298471772,2.715412715464601,2.701301296982169,282.2319546875,282.22,-0.0063336781936535,-0.0043622651230481,0.0006624863106299,0.0003367456919847,0.0813678438992987
21,3.325311169087829,3.357129031145336,3.3593006689267857,3.3333986137578395,282.41708203125,282.41,-0.0056337917078664,-0.0097796029564512,-0.0009559793376608,-0.0015034156214765,0.1678625893895806
