Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3]
2022,4,13,15,19,NaN,NaN,NaN
2022,4,13,15,39,NaN,NaN,NaN
2022,4,13,15,59,NaN,NaN,NaN
2022,4,13,16,19,NaN,NaN,NaN
2022,4,13,16,39,NaN,NaN,NaN
2022,4,13,16,59,NaN,NaN,NaN
2022,4,13,17,19,NaN,NaN,NaN
2022,4,13,17,39,NaN,NaN,NaN
2022,4,13,17,59,NaN,NaN,NaN
2022,4,13,18,19,NaN,NaN,NaN
2022,4,13,18,39,NaN,NaN,NaN
2022,4,13,18,59,NaN,NaN,NaN
2022,4,13,19,19,NaN,NaN,NaN
2022,4,13,19,39,NaN,NaN,NaN
2022,4,13,19,59,NaN,NaN,NaN
2022,4,13,20,19,NaN,NaN,NaN
2022,4,13,20,39,NaN,NaN,NaN
2022,4,13,20,59,NaN,NaN,NaN
2022,4,13,21,19,NaN,NaN,NaN
2022,4,13,21,39,NaN,NaN,NaN
2022,4,13,21,59,NaN,NaN,NaN
2022,4,13,22,19,NaN,NaN,NaN
2022,4,13,22,39,NaN,NaN,NaN
2022,4,13,22,59,NaN,NaN,NaN
2022,4,13,23,19,NaN,NaN,NaN
2022,4,13,23,39,NaN,NaN,NaN
2022,4,14,0,0,NaN,NaN,NaN
2022,4,14,0,20,NaN,NaN,NaN
2022,4,14,0,40,NaN,NaN,NaN
2022,4,14,1,0,NaN,NaN,NaN
2022,4,14,1,20,NaN,NaN,NaN
2022,4,14,1,40,NaN,NaN,NaN
2022,4,14,2,0,NaN,NaN,NaN
2022,4,14,2,20,NaN,NaN,NaN
2022,4,14,2,40,NaN,NaN,NaN
2022,4,14,3,0,NaN,NaN,NaN
2022,4,14,3,20,NaN,NaN,NaN
2022,4,14,3,40,NaN,NaN,NaN
2022,4,14,4,0,NaN,NaN,NaN
2022,4,14,4,20,NaN,NaN,NaN
2022,4,14,4,40,NaN,NaN,NaN
2022,4,14,5,0,NaN,NaN,NaN
2022,4,14,5,20,NaN,NaN,NaN
2022,4,14,5,40,NaN,NaN,NaN
2022,4,14,6,0,NaN,NaN,NaN
2022,4,14,6,20,NaN,NaN,NaN
2022,4,14,6,40,NaN,NaN,NaN
2022,4,14,7,0,NaN,NaN,NaN
2022,4,14,7,20,NaN,NaN,NaN
2022,4,14,7,40,NaN,NaN,NaN
2022,4,14,8,0,NaN,NaN,NaN
2022,4,14,8,20,NaN,NaN,NaN
2022,4,14,8,40,NaN,NaN,NaN
2022,4,14,9,0,NaN,NaN,NaN
2022,4,14,9,20,NaN,NaN,NaN
2022,4,14,9,40,0.00015211115470282,0.000269362999128023,0.000544689711259602
2022,4,14,10,0,-5.13038081972424e-05,2.21135347228776e-05,5.40404524375317e-06
2022,4,14,10,20,NaN,NaN,NaN
2022,4,14,10,40,NaN,NaN,NaN
2022,4,14,11,0,NaN,NaN,NaN
2022,4,14,11,20,NaN,NaN,NaN
2022,4,14,11,40,NaN,NaN,NaN
2022,4,14,12,0,NaN,NaN,NaN
2022,4,14,12,20,-2.13746068026745e-05,0.000107912481448683,0.000278020157933041
2022,4,14,12,40,0.000221295433387048,-8.20828020738002e-05,-0.000116243657703384
2022,4,14,13,0,0.000419751783100999,-0.000142602891534149,0.00011178718675643
2022,4,14,13,20,-7.51608087354663e-05,2.47718480717752e-05,-1.12903428320253e-05
2022,4,14,13,40,NaN,NaN,NaN
2022,4,14,14,0,NaN,NaN,NaN
2022,4,14,14,20,NaN,NaN,NaN
2022,4,14,14,40,NaN,NaN,NaN
2022,4,14,14,59,NaN,NaN,NaN
2022,4,14,15,19,NaN,NaN,NaN
2022,4,14,15,39,NaN,NaN,NaN
2022,4,14,15,59,NaN,NaN,NaN
2022,4,14,16,19,NaN,NaN,NaN
2022,4,14,16,39,NaN,NaN,NaN
2022,4,14,16,59,NaN,NaN,NaN
2022,4,14,17,19,NaN,NaN,NaN
2022,4,14,17,39,NaN,NaN,NaN
2022,4,14,17,59,NaN,NaN,NaN
2022,4,14,18,19,NaN,NaN,NaN
2022,4,14,18,39,NaN,NaN,NaN
2022,4,14,18,59,NaN,NaN,NaN
2022,4,14,19,19,NaN,NaN,NaN
2022,4,14,19,39,NaN,NaN,NaN
2022,4,14,19,59,NaN,NaN,NaN
2022,4,14,20,19,NaN,NaN,NaN
2022,4,14,20,39,NaN,NaN,NaN
2022,4,14,20,59,NaN,NaN,NaN
2022,4,14,21,19,NaN,NaN,NaN
