,jd,u,zu,ta,zt,rh,zq,P,Tsea,sw_dn,lw_dn,lat,lon,Zi,rain,Ss,tsg,Ts_depth,tsnk,ztsg
0,105.0,5.4197268608204645,2.4880000000000004,8.644078385416663,2.4880000000000004,87.95025,3.802999999999998,1012.4476731638229,9.4414358675,105.0,105.0,41.5777,-70.74611,600.0,0.0,,9.4414358675,4.317,9.4414358675,4.317
1,105.012,4.991919270338055,2.4830000000000005,8.6458252604167,2.4830000000000005,87.22108333333333,3.7979999999999983,1013.120891724828,9.459284494833334,105.012,105.012,41.5777,-70.74611,600.0,0.0,,9.459284494833334,4.322,9.459284494833334,4.322
2,105.024,4.480761703521907,2.5020000000000007,8.620310677083296,2.5020000000000007,87.29116666666665,3.8169999999999984,1013.3238138900052,9.45625483475,105.024,105.024,41.5777,-70.74611,600.0,0.0,,9.45625483475,4.303,9.45625483475,4.303
3,105.036,3.4653961883853404,2.4285000000000005,8.60678125000004,2.4285000000000005,87.40375,3.7434999999999983,1013.7388098671928,9.43678839,105.036,105.036,41.5777,-70.74611,600.0,0.0,,9.43678839,4.3765,9.43678839,4.3765
4,105.048,4.1374520823682985,2.4270000000000005,8.586902864583294,2.4270000000000005,87.73758333333333,3.741999999999998,1013.6492494229116,9.416424165583331,105.048,105.048,41.5777,-70.74611,600.0,0.0,,9.416424165583331,4.378,9.416424165583331,4.378
5,105.06,3.905719701463084,2.389,8.573582031249998,2.389,88.4965,3.703999999999998,1013.5224957398436,9.396023751416664,105.06,105.06,41.5777,-70.74611,600.0,0.0,,9.396023751416664,4.416,9.396023751416664,4.416
6,105.072,4.27414088533625,2.3445000000000005,8.622110416666658,2.3445000000000005,89.28949999999999,3.659499999999998,1013.7185331693802,9.353096053666668,105.072,105.072,41.5777,-70.74611,600.0,0.0,,9.353096053666668,4.4605,9.353096053666668,4.4605
7,105.084,3.727138217803305,2.2965000000000004,8.631272656250019,2.2965000000000004,89.25941666666665,3.611499999999998,1013.9540251797137,9.32012077325,105.084,105.084,41.5777,-70.74611,600.0,0.0,,9.32012077325,4.5085,9.32012077325,4.5085
8,105.096,3.7620181592208337,2.2700000000000005,8.682805729166716,2.2700000000000005,88.90225,3.584999999999998,1013.7634808248804,9.288982030916667,105.096,105.096,41.5777,-70.74611,600.0,0.0,,9.288982030916667,4.535,9.288982030916667,4.535
9,105.108,4.613290898318149,2.2195000000000005,8.697056250000003,2.2195000000000005,87.79074999999999,3.534499999999998,1013.8163635779998,9.28371975175,105.108,105.108,41.5777,-70.74611,600.0,0.0,,9.28371975175,4.5855,9.28371975175,4.5855
10,105.12,4.63204238142719,2.1655000000000006,8.716319791666649,2.1655000000000006,87.26175,3.4804999999999984,1014.2297036874533,9.281872877416664,105.12,105.12,41.5777,-70.74611,600.0,0.0,,9.281872877416664,4.6395,9.281872877416664,4.6395
11,105.132,4.279792028277236,2.1290000000000004,8.760727343750034,2.1290000000000004,87.76241666666667,3.443999999999998,1014.7797071687812,9.306867650166668,105.132,105.132,41.5777,-70.74611,600.0,0.0,,9.306867650166668,4.676,9.306867650166668,4.676
12,105.144,3.758247549406898,2.0175,8.796903906250009,2.0175,88.2295,3.332499999999998,1014.7300662195728,9.314500212416666,105.144,105.144,41.5777,-70.74611,600.0,0.0,,9.314500212416666,4.7875000000000005,9.314500212416666,4.7875000000000005
13,105.156,4.1447255877570095,1.9345000000000008,8.973479036458343,1.9345000000000008,88.91941666666666,3.2494999999999985,1016.4611776506666,9.28654749125,105.156,105.156,41.5777,-70.74611,600.0,0.0,,9.28654749125,4.8705,9.28654749125,4.8705
14,105.168,3.289392272344155,1.7875000000000003,8.986359895833345,1.7875000000000003,89.70258333333332,3.1024999999999983,1015.9020852298854,9.241360057833331,105.168,105.168,41.5777,-70.74611,600.0,0.0,,9.241360057833331,5.0175,9.241360057833331,5.0175
15,105.18,2.964454819102692,1.697500000000001,9.053000260416638,1.697500000000001,90.10191666666668,3.0124999999999984,1015.2531903260676,9.20830157375,105.18,105.18,41.5777,-70.74611,600.0,0.0,,9.20830157375,5.1075,9.20830157375,5.1075
16,105.192,,1.6365000000000005,,1.6365000000000005,90.76366666666668,2.951499999999998,1015.3665956646824,9.197553721916666,105.192,105.192,41.5777,-70.74611,600.0,0.0,,9.197553721916666,5.1685,9.197553721916666,5.1685
17,105.204,,1.5580000000000007,,1.5580000000000007,90.79475,2.8729999999999984,1016.0882801131664,9.193673529166666,105.204,105.204,41.5777,-70.74611,600.0,0.0,,9.193673529166666,5.247,9.193673529166666,5.247
18,105.216,,1.4805,,1.4805,90.8655,2.795499999999998,1016.3990848335832,9.18630345125,105.216,105.216,41.5777,-70.74611,600.0,0.0,,9.18630345125,5.3245,9.18630345125,5.3245
19,105.228,2.118975614534329,1.4410000000000007,9.08609531250005,1.4410000000000007,90.58125,2.7559999999999985,1016.832456810927,9.160072854333333,105.228,105.228,41.5777,-70.74611,600.0,0.0,,9.160072854333333,5.364,9.160072854333333,5.364
20,105.24,2.382100726432608,1.3735000000000004,9.191767708333316,1.3735000000000004,91.32175,2.688499999999998,1016.8891088509896,9.1530183835,105.24,105.24,41.5777,-70.74611,600.0,0.0,,9.1530183835,5.4315,9.1530183835,5.4315
21,105.252,2.855509997747714,1.3645000000000005,9.357574218750017,1.3645000000000005,91.92291666666668,2.679499999999998,1016.9254753071668,9.152502563416666,105.252,105.252,41.5777,-70.74611,600.0,0.0,,9.152502563416666,5.4405,9.152502563416666,5.4405
22,105.264,2.5745338719362088,1.3520000000000003,9.467487760416702,1.3520000000000003,91.84283333333336,2.666999999999998,1016.93499860025,9.147660759416668,105.264,105.264,41.5777,-70.74611,600.0,0.0,,9.147660759416668,5.453,9.147660759416668,5.453
23,105.276,2.3192105684231583,1.3430000000000004,9.494273177083357,1.3430000000000004,91.45108333333332,2.657999999999998,1016.8857000673178,9.151122767583333,105.276,105.276,41.5777,-70.74611,600.0,0.0,,9.151122767583333,5.462,9.151122767583333,5.462
24,105.288,2.9807816956064,1.3525000000000005,9.64793984375001,1.3525000000000005,86.73088333333334,2.667499999999998,1017.2090309685832,9.159244003583334,105.288,105.288,41.5777,-70.74611,600.0,0.0,,9.159244003583334,5.4525,9.159244003583334,5.4525
25,105.3,3.355892860701984,1.3730000000000002,9.854736718749962,1.3730000000000002,80.026875,2.687999999999998,1017.6243712174584,9.174966728333334,105.3,105.3,41.5777,-70.74611,600.0,0.0,,9.174966728333334,5.432,9.174966728333334,5.432
26,105.312,3.5434673827821137,1.3780000000000006,10.148674218750045,1.3780000000000006,72.85526666666668,2.6929999999999983,1017.8752929911356,9.18579487425,105.312,105.312,41.5777,-70.74611,600.0,0.0,,9.18579487425,5.427,9.18579487425,5.427
27,105.324,3.5080396221788046,1.4485,10.421943749999969,1.4485,68.12053333333333,2.763499999999998,1018.1595031397968,9.201310220666668,105.324,105.324,41.5777,-70.74611,600.0,0.0,,9.201310220666668,5.3565,9.201310220666668,5.3565
28,105.336,3.492267876512752,1.4880000000000004,10.924751041666696,1.4880000000000004,60.229441666666666,2.802999999999998,1018.4441325660832,9.227494157583331,105.336,105.336,41.5777,-70.74611,600.0,0.0,,9.227494157583331,5.317,9.227494157583331,5.317
29,105.348,3.877804808770135,1.5800000000000003,11.289097916666663,1.5800000000000003,54.958775,2.8949999999999982,1018.504734522844,9.270779811,105.348,105.348,41.5777,-70.74611,600.0,0.0,,9.270779811,5.225,9.270779811,5.225
30,105.36,4.383618176746289,1.6740000000000004,11.9088421875,1.6740000000000004,47.80855833333334,2.988999999999998,1018.500322253828,9.318037361166668,105.36,105.36,41.5777,-70.74611,600.0,0.0,,9.318037361166668,5.131,9.318037361166668,5.131
31,105.372,5.395794748274798,1.7755,12.408928906249969,1.7755,40.83849166666667,3.090499999999998,1018.5767039837916,9.368220600166666,105.372,105.372,41.5777,-70.74611,600.0,0.0,,9.368220600166666,5.0295000000000005,9.368220600166666,5.0295000000000005
32,105.384,4.649536253603065,1.9405,12.424702604166669,1.9405,42.35724166666667,3.255499999999998,1018.518944576344,9.401885900166668,105.384,105.384,41.5777,-70.74611,600.0,0.0,,9.401885900166668,4.8645000000000005,9.401885900166668,4.8645000000000005
33,105.396,3.970669189649175,2.0640000000000005,12.708318229166707,2.0640000000000005,40.26776666666667,3.3789999999999982,1018.3167807106825,9.441309394916663,105.396,105.396,41.5777,-70.74611,600.0,0.0,,9.441309394916663,4.741,9.441309394916663,4.741
