,date,lat,lon
96,2022-04-16 08:00:39.024002,41.5777,-70.74611
97,2022-04-16 08:20:39.033597,41.5777,-70.74611
98,2022-04-16 08:40:39.043201,41.5777,-70.74611
99,2022-04-16 09:00:38.966405,41.5777,-70.74611
100,2022-04-16 09:20:38.976000,41.5777,-70.74611
101,2022-04-16 09:40:38.985604,41.5777,-70.74611
102,2022-04-16 10:00:38.995199,41.5777,-70.74611
103,2022-04-16 10:20:39.004803,41.5777,-70.74611
104,2022-04-16 10:40:39.014398,41.5777,-70.74611
105,2022-04-16 11:00:39.024002,41.5777,-70.74611
106,2022-04-16 11:20:39.033597,41.5777,-70.74611
107,2022-04-16 11:40:39.043201,41.5777,-70.74611
108,2022-04-16 12:00:38.966405,41.5777,-70.74611
109,2022-04-16 12:20:38.976000,41.5777,-70.74611
110,2022-04-16 12:40:38.985604,41.5777,-70.74611
111,2022-04-16 13:00:38.995199,41.5777,-70.74611
112,2022-04-16 13:20:39.004803,41.5777,-70.74611
113,2022-04-16 13:40:39.014398,41.5777,-70.74611
114,2022-04-16 14:00:39.024002,41.5777,-70.74611
115,2022-04-16 14:20:39.033597,41.5777,-70.74611
116,2022-04-16 14:40:39.043201,41.5777,-70.74611
117,2022-04-16 15:00:38.966405,41.5777,-70.74611
118,2022-04-16 15:20:38.976000,41.5777,-70.74611
119,2022-04-16 15:40:38.985604,41.5777,-70.74611
120,2022-04-16 16:00:38.995199,41.5777,-70.74611
121,2022-04-16 16:20:39.004803,41.5777,-70.74611
122,2022-04-16 16:40:39.014398,41.5777,-70.74611
123,2022-04-16 17:00:39.024002,41.5777,-70.74611
124,2022-04-16 17:20:39.033597,41.5777,-70.74611
125,2022-04-16 17:40:39.043201,41.5777,-70.74611
126,2022-04-16 18:00:38.966405,41.5777,-70.74611
127,2022-04-16 18:20:38.976000,41.5777,-70.74611
128,2022-04-16 18:40:38.985604,41.5777,-70.74611
129,2022-04-16 19:00:38.995199,41.5777,-70.74611
130,2022-04-16 19:20:39.004803,41.5777,-70.74611
131,2022-04-16 19:40:39.014398,41.5777,-70.74611
132,2022-04-16 20:00:39.024002,41.5777,-70.74611
133,2022-04-16 20:20:39.033597,41.5777,-70.74611
134,2022-04-16 20:40:39.043201,41.5777,-70.74611
135,2022-04-16 21:00:38.966405,41.5777,-70.74611
136,2022-04-16 21:20:38.976000,41.5777,-70.74611
137,2022-04-16 21:40:38.985604,41.5777,-70.74611
138,2022-04-16 22:00:38.995199,41.5777,-70.74611
139,2022-04-16 22:20:39.004803,41.5777,-70.74611
140,2022-04-16 22:40:39.014398,41.5777,-70.74611
141,2022-04-16 23:00:39.024002,41.5777,-70.74611
142,2022-04-16 23:20:39.033597,41.5777,-70.74611
143,2022-04-16 23:40:39.043201,41.5777,-70.74611
144,2022-04-17 00:00:38.966405,41.5777,-70.74611
