new_index,L_sonic1,L_sonic2,L_sonic3,L_sonic4
0,-66.07402066755871,-65.42422975468864,-67.0987426220297,-69.07461087246813
1,-47.185185808664485,-50.61890800898421,-94.23206245554238,-47.2761725167012
2,-44.753191131530734,-54.34323953311828,-157.10585562839157,-43.95716086544089
3,-32.36231857416826,-23.25960203754925,-27.520605372037,-74.87302096773053
4,-34.481991988838786,-38.56992578513699,-66.51454579238387,-57.18147578808783
5,-20.59879569460931,-16.392238964113695,-32.62373829940545,-38.07774249344701
6,-46.10900761586794,-50.76057160479197,-80.91117911344041,-48.61736652747221
7,-53.93288517456991,-88.8732547554223,-94.98652353481518,-72.26317252444207
8,-40.33408762019254,-48.30033011971202,-108.36554251489227,-27.210941980659992
9,-55.764230224483114,-52.605787227730424,-83.11642671328367,-60.61411836605334
10,-80.45285777048727,-98.35196055198065,-127.09889584758933,-49.253556821143285
11,-66.54840319952541,-54.437568063159716,-79.85338354524472,-55.24675378987871
12,-42.41393341119108,-34.42654277673018,-41.7520965066968,-43.93664643528873
13,-41.12567496955644,-108.23632286579301,-95.74098461408798,-49.88974711481436
14,-78.9518823097973,-83.46452075568868,-262.5688380939819,-52.56825045234653
15,-72.08035007417247,-68.26752209513892,-297.895706095248,-46.913196775051546
16,-79.61220917189121,-33.5763448930419,-281.04899731922313,-46.913196775051546
17,-121.84137231698836,-41.3634364482211,-162.31688551383883,-41.50739721316536
18,-19.117360663776974,-7.734839241554445,-57.80626740261833,-46.913196775051546
19,-109.43443051449455,-33.73513601173183,-197.57559267952945,-46.913196775051546
20,-139.82691360605588,-53.371793506816275,-72.87019054520484,23.678573790667606
21,-267.176942962368,186.38996236772,89.83542128898551,29.858885552336755
22,103.27860026629685,134.58502752617855,-114.10236713073316,-124.876992322368
23,88.14374901563824,58.56668254541147,41.72027129586156,54.567391082749744
24,98.4604236540583,55.26324502456982,45.90870898655102,60.28516637422512
25,56.943938538826124,42.29851514025083,78.03980508173126,23.39345053250883
26,39.61609179542564,36.17850216321452,29.682830979853055,96.99706665867409
27,32.1390199160445,22.554732273559154,21.358317529279173,44.65191540740955
28,23.714290359927187,23.874238815688365,30.805225312582483,41.633857377527676
29,21.99473623343703,22.810744343530324,28.029153068820314,33.17579466818713
30,21.841966377923626,26.623053239885017,30.03538974842787,23.108327274350057
31,26.68170768155706,24.583986158063425,24.97486866472101,17.268671800001528
