,usr_s1,usr_s2,usr_s3,usr_s4
0,0.20221996983174959,0.1975163038406108,0.20370063574200484,0.20931141370112333
1,0.17209479768471642,0.1718012114681754,0.12785148512162284,0.16519810467765236
2,0.1678779145096949,0.1782130744882663,0.09852615080750196,0.16214798427856583
3,0.14371742081936503,0.1264667214056687,0.13427230744327107,0.17421116918203555
4,0.1483297828267084,0.15413313344218255,0.18527973570461,0.18399582727042663
5,0.11793810723778923,0.10300211741035889,0.126450038117985,0.14010486035399725
6,0.1465515527918202,0.16051305379553638,0.19618651363558612,0.1567991000895802
7,0.15105014101079908,0.16682964834061584,0.17471907436890421,0.15670006435744951
8,0.14154330393165837,0.14394327434486623,0.13838873951271083,0.12028927681825369
9,0.15735642135450942,0.1503770711920175,0.17495474572358324,0.16302255678528876
10,0.1869610776521383,0.20175668976894368,0.2225591683552187,0.20050647967569818
11,0.16702811165156184,0.14385578524381062,0.16360496455761703,0.15265703050985224
12,0.13596279585546162,0.12718248536047105,0.12861999691751488,0.1539565116147201
13,0.12334878301032527,0.1625309048739546,0.1318121377486979,0.14783317007526772
14,0.1298676456281135,0.1361342734641197,0.18650321852514606,0.13515643415269668
15,0.1214902775927039,0.11819982987212135,0.191310515798781,0.12133260903666084
16,,,,
17,,,,
18,,,,
19,0.09724256092851438,0.0698320275647405,0.12398561036915247,0.09539157053372506
20,0.09609655624218263,0.07745668350308248,0.08769588370971537,0.08757305994536872
21,0.12755673343873233,0.09535214677376297,0.10623693150429057,0.08133239840012672
22,0.10434927304513324,0.0952736389247896,0.0918887747409179,0.09688943603929667
23,0.09518046482070569,0.08421148796759226,0.07963452959989667,0.08493277315473229
24,0.13139178877285865,0.13775917485154882,0.1375505097681686,0.17195744182025535
25,0.13539348248881428,0.11472283666145976,0.10523944080301582,0.11617747835139099
26,0.1243378535112273,0.12003691052306747,0.11738574518158043,0.17222689589205642
27,0.12878799716104375,0.1180985828704525,0.11442873487705958,0.13077559093981558
28,0.13550278770612334,0.13645518754422872,0.14820889589233968,0.17021558451757324
29,0.14654400386606786,0.14540026454351168,0.15371563913757713,0.1548923253755102
30,0.17565463907609438,0.14540802062412292,0.09579933553332277,0.14121008773291682
31,0.19096092811503307,0.19965985381656198,0.21373298123335968,0.17427201202682116
32,0.16952394779219304,0.1709361464607696,0.10280816849539513,0.19796124804498877
33,0.13800421920213607,0.1431954450048495,0.16715482973524942,0.14728526896353392
34,0.19342404280014658,0.11154727271613601,0.1961456981463231,0.12507383077059048
35,0.18053533295866653,0.1464806823478996,0.1381870659431519,0.1498732897752203
36,0.21966148021164714,0.26688718751590146,0.2668726288276875,0.2207721210831987
37,0.23464717387031345,0.2406699367112598,0.19545970926550166,0.3136093129332405
38,0.22710060700709817,0.19537999858947552,0.19071970742168975,0.14690739854007456
39,0.2534116989976017,0.23894359561210193,0.25054298770890626,0.24715117104004522
40,0.25725374284911234,0.22786244047065826,0.21334758033201282,0.23435399412073732
41,0.2678336265630181,0.21463577897099226,0.17182164418814996,0.16393009961329943
42,0.2888746771738459,0.2630378705831394,0.25557679248166526,0.2676931532154357
