,cd_s1,cd_s2,cd_s3,cd_s4
0,0.0013921732438758664,0.001158272743909562,0.0011638394968553093,0.0011614848087035552
1,0.001188503260742139,0.001042902019147788,0.0005465982567931959,0.000840141487463594
2,0.001403729527224081,0.00137466895181945,0.000399518947434876,0.000988400244105159
3,0.0017199389930991282,0.0011577398489546165,0.0012478314190841322,0.0018983931970312576
4,0.0012852593371405568,0.0012166686549087207,0.001662980526196132,0.001503747878517251
5,0.0009118138032511706,0.0006111965731652012,0.0008808692252643085,0.0009938586037237305
6,0.0011756638974188278,0.0012506361102907078,0.0017874059380792462,0.0010423779639544522
7,0.0016424466552315015,0.0017440129834644215,0.001822600785801757,0.0013269237517569235
8,0.0014155880325727036,0.0012659883564910238,0.0011149840453726794,0.0007737580370895188
9,0.0011634487548636318,0.0009156642506179788,0.0011677659685938753,0.0009226067315361137
10,0.0016291360599544201,0.0016253381718167445,0.0018920080312899213,0.0014047660447215897
11,0.0015231189148669163,0.0009599395536908558,0.0011758302565009389,0.0009251980769681492
12,0.00130878830993579,0.0009681305759366195,0.0009349271515321113,0.0012276503612261927
13,0.0008856827240010734,0.0013120076470394767,0.0008258633079181885,0.0008716067587431132
14,0.0015587289405463345,0.0014275939201207938,0.0025953975488618884,0.0011701401912491576
15,0.0016795517019767617,0.0013016231006447573,0.003226814960157715,0.0011286010919940186
16,,,,
17,,,,
18,,,,
19,0.002106012078803581,0.0008824884802300181,0.002751833156804141,0.0013543547604796208
20,0.0016274040994882315,0.0008566857537633217,0.0010591664742596125,0.0008865366797757572
21,0.001995443373264687,0.000886773401182692,0.0010206725956164219,0.0004965185702822624
22,0.0016427884308841782,0.001052502126322378,0.0009062142826325267,0.0008226727094393949
23,0.0016842838329338998,0.0010122010795895445,0.0008254097429843294,0.0007650136712293804
24,0.0019430148018894024,0.0016638589626778515,0.0015183219406035501,0.001943507112029763
25,0.0016277186649080204,0.0008876056941516938,0.0006739058996589244,0.000687732113619668
26,0.0012312602316479,0.000877831116938631,0.0007570070018885918,0.001371927443888108
