new_index,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
8050,9.993790553050022,10.066722499178551,10.077925473888085,9.95233646620736,279.24272916666666,279.2,-0.1609778967769453,-0.0335155255888318,0.080347646054811,0.0020388614736722,1.5269543912810604
8051,9.507273596517429,9.588742718855558,9.600047717768254,9.479561160378656,279.16403125,279.12,-0.1638238869766667,0.0090445706458883,0.0947192484966588,0.0303243829008466,1.4873380548088582
8052,10.12062043094766,10.202181241637756,10.213043058243336,10.125322307774324,278.9789697916666,278.92999999999995,-0.1702778712161861,-0.0070631485167626,0.0916576377891907,0.0117026354242397,1.6085455536755708
8053,9.690546709879015,9.75415774788085,9.765275341514265,9.657932501613203,278.93852838541665,278.91,-0.1597589770356875,0.0266461298681233,0.0846930723344443,0.0234068570926331,1.5063736392425875
8054,8.509195777538741,8.560250762115091,8.569141797855488,8.511351310236723,278.7438223958333,278.67999999999995,-0.1212513459001038,0.0014556981748536,0.0771611545016335,0.0207218314054742,1.4230655152229308
8055,8.448056182515401,8.520676699587058,8.529793464068938,8.345827982213157,278.7613700520833,278.73,-0.1066508000742704,-0.0064510398051528,0.0670579279716988,0.0170688479162284,1.3506715200395032
8056,9.40947705878361,9.513018981880158,9.523896212027903,9.441651268186138,278.9948572916667,278.96,-0.1408623350921299,-0.0005355641546758,0.0839826698289213,-0.0153808364256577,1.502584345892673
8057,9.47241418378647,9.54283152069902,9.553414358428553,9.43069248586096,278.853684375,278.82,-0.1202967933052006,0.0015990592157513,0.0858493452541795,0.049126969813267,1.51168168792355
8058,8.020354676319847,8.08107882150845,8.089985242655219,7.973964518751478,278.70462734375,278.64,-0.0944392600577877,-0.0326477934115768,0.0610855080586661,0.0027856923436501,1.1433494355085585
8059,7.43352740466656,7.532677579159391,7.542399325530426,7.304980829593477,278.6507234375,278.58,-0.110034884421393,-0.0246790960636491,0.0802813989997578,0.02325058067279735,1.492040361011522
8060,8.751742905081873,8.826309330072526,8.835609064829422,8.773392417794419,278.69238359375,278.62,-0.11779289339928,-0.0174522364464839,0.0768118241192648,0.0444105782988139,1.2849582907421195
8061,8.145548577624174,8.19473002894808,8.204176371956997,8.151568463167726,278.6977083333333,278.64,-0.0921968995268996,0.0085476128173523,0.0797867174923978,0.0374043255255364,1.4552017850158945
8062,8.25341113455457,8.346977958024382,8.356912307246827,8.19403255082347,278.5728626302084,278.51,-0.1046453339544702,0.0051780046985363,0.0752596086189511,-0.002270711225565,1.4028233209097545
8063,9.510728090947264,9.574918273946986,9.585210059175845,9.577410787466931,278.5610955729166,278.51,-0.1504041472904095,-0.0125473412079481,0.0843151165514768,0.0103490514832123,1.413558840645311
8064,10.133728659443902,10.21844363570275,10.229888986615467,10.141757704337884,278.51761067708327,278.48,-0.1612715072334377,-0.014577942242159,0.08003405824607779,0.057072085738692,1.5694552573240492
8065,9.98017035655344,10.061503086168472,10.072989161940823,9.952809157413336,278.40916171874994,278.37,-0.1637467677229467,-0.0175610781969197,0.0974969410799886,0.0589248049063933,1.6241333229786852
8066,10.021394229565022,10.113532785494485,10.12512483787943,9.95446832949284,278.46415598958333,278.42,-0.1798552774314384,-0.0197044909408642,0.08034885278134199,0.0230943042529616,1.8260710681900705
8067,8.77167255394143,8.850428264490715,8.860989346021945,8.651536557298208,278.1409497395833,278.08,-0.1282999269675624,-0.016156354979482,0.0890949269992496,0.0234391554683806,1.7014685957444593
8068,7.698129035946936,7.782213849033468,7.791370038151363,7.65522636734325,277.97613984375,277.9,-0.08808266826725,-0.0549990066647664,0.0714988587115841,0.0293884685032037,1.1477176532544962
8069,8.053390928196732,8.10697981145002,8.115941335639247,8.029606095370086,277.77305078125,277.69,-0.081668751086466,0.0036782160427248,0.0706187039192813,0.0062597206343669,1.1666225019982233
8070,6.904588530691884,7.021097350461311,7.0294031539549175,6.930831501446945,277.7033955729167,277.62,-0.0362418363645462,-0.011000026819567299,0.0731261304074075,0.000626295468281,1.3403641233210584
8071,7.594049755672133,7.640697635149894,7.649232107066211,7.571215983926983,277.59778671875,277.5,-0.0868859768287977,0.0033986102921897,0.079769584032067,0.0271825658537965,0.8526313216465589
8072,7.616734742203985,7.696082401741345,7.704348263473038,7.561310827338336,277.5581953125,277.48,-0.0857749409935207,-0.0007708578241446,0.0804446779728354,-0.0040680518139081,1.016870064386834
8073,8.057602255840797,8.138005959441044,8.146726908417634,8.094478788287955,277.55126041666665,277.48999999999995,-0.1050029082667147,0.0154000217315122,0.0804163065629262,0.0328611153749874,1.1029719637516957
8074,8.720457889051852,8.78631475580291,8.794869456908344,8.714287294881945,277.3926471354166,277.33,-0.0934093850221263,0.0096446238855681,0.0782257695150468,0.0291135555853837,1.055039438401964
8075,7.812905928698933,7.889362779184409,7.8982048080081135,7.816783305203884,277.4082046875,277.34,-0.0994430830276893,-0.0094527124311865,0.0848711124817759,0.0494940219606954,1.0502337088863796
8076,7.035430562980932,7.084623566401533,7.092309643970111,7.040432623266192,277.37974947916666,277.28,-0.055450517807772,0.0183514545515909,0.0784842684403806,0.0201718092933271,0.7170465896050008
8077,7.0307500955333735,7.128312421378566,7.136522070695887,7.0195319557779605,277.33200572916667,277.25,-0.0797982471780331,-0.01016859625528315,0.0855410217004101,0.0195449966623189,1.0675165209461042
8078,6.722972595859448,6.811993462986754,6.820511035431682,6.716278161712765,276.840475,276.77,-0.0651522902396557,-0.0155087494305185,0.0819057583456214,-0.0150645257719139,0.9752856113157484
8079,6.65970341060276,6.709134515419807,6.716641439995232,6.659055868006078,276.52730312499995,276.44,-0.0479201580339142,-0.0163509536057244,0.0721494712650649,0.0058107885907821,0.6649473804938761
8080,6.676328506533162,6.7362927109656505,6.744526761569438,6.656320917407454,276.38535494791665,276.29999999999995,-0.0619690628788078,-0.0108844800793798,0.0877344737504564,0.0181294908152016,0.7524530061312865
8081,6.644602354682055,6.6973972796905805,6.704754450335503,6.64037222046932,276.02076171875,275.91,-0.0522528095178078,-0.0191514241984239,0.0740023620784197,0.0278257366551996,0.6545817997845459
8082,6.071249125470069,6.135395427546568,6.143910452225885,6.076980846503039,275.9774682291667,275.86,-0.0612633128417469,-0.0048776703390887,0.0822317562047106,0.0214285312298601,0.7324540542995538
