,z0_s1,z0_s2,z0_s3,z0_s4
0,5.4955923921706636e-05,4.0761444199243324e-05,6.453335818312476e-05,8.307534150099395e-05
1,2.2697580060102025e-05,2.162230006762779e-05,2.959757923283228e-07,1.0548807780840476e-05
2,5.776380150008336e-05,0.00010724280665023246,1.6275643164413434e-08,3.102740344042946e-05
3,0.00015723741262605928,4.018467828930927e-05,9.56960658284258e-05,0.0010646373594106957
4,3.4630169932718313e-05,5.359315389923883e-05,0.0004351587605174886,0.0003422971966445752
5,4.219470074555706e-06,4.780420935427581e-07,1.1049319264685903e-05,3.178325857408736e-05
6,2.011928205536485e-05,6.168165359258524e-05,0.0006095983765906905,4.2666840366483955e-05
7,0.0001187428663920331,0.0003455093913474106,0.0006641111320404251,0.0001736720622292175
8,5.4809507192292305e-05,6.509733503919153e-05,4.868408704088925e-05,5.786301627909334e-06
9,1.7918034443730237e-05,8.925441073107568e-06,6.360400396469933e-05,1.9326991111823736e-05
10,0.000107553358346284,0.0002386279003885287,0.000776614914634828,0.00023341587953306585
11,7.533082150609745e-05,1.192650309006986e-05,6.543628477171104e-05,1.9511008240714277e-05
12,3.183848404625295e-05,1.2306274006582029e-05,1.5634885092416113e-05,0.00010929899615461791
13,2.8142333407845472e-06,7.405729156177196e-05,6.695021163779237e-06,1.2847520982474247e-05
14,7.115115461158022e-05,0.00011318952645842368,0.0028318914540321673,8.091964009831017e-05
15,9.794088502078477e-05,6.724376793795019e-05,0.006286928226347346,6.477238531271989e-05
16,,,,
17,,,,
18,,,,
19,0.00023618141038942445,5.872422582614551e-06,0.0033824480406048655,0.00017792361123532619
20,6.785859059389711e-05,4.723449762209278e-06,3.153166904000657e-05,1.3585673171589917e-05
21,0.00017623535370715776,5.954629234727154e-06,2.5029557732971627e-05,1.48242082158845e-07
22,6.997834769330386e-05,1.7883888941104237e-05,1.1600544298865823e-05,8.125390717341411e-06
23,7.855776721972312e-05,1.3993834066853854e-05,6.138122374561026e-06,4.845335897277107e-06
24,0.00015493122995525593,0.00022304813961854562,0.0002382241827335076,0.0010616823432145089
25,6.789891419224783e-05,6.004803608304873e-06,1.3953639007202744e-06,2.2041231101311948e-06
26,1.5435392657447203e-05,5.580317979080559e-06,3.3341022501183677e-06,0.00018950678527319533
27,2.6856040150453324e-05,3.489145261107591e-06,1.3023875027465782e-06,2.613571379871427e-06
28,4.9594390047724886e-05,2.2667484002746934e-05,3.886488730598742e-05,8.560351690562331e-05
29,3.997489942811935e-05,1.533482691092383e-05,1.9627627982275322e-05,8.265603387716932e-06
30,7.73522594811738e-05,3.2783640236200165e-06,7.7799187239171e-10,3.9476932959853114e-07
31,2.191533988164913e-05,1.9037832982049593e-05,3.3480276254758725e-05,7.479996234279876e-07
32,3.3369733235885344e-05,1.6231122894400576e-05,1.332282263368294e-09,2.691742588132826e-05
33,2.0724616961641962e-05,1.4308376768964991e-05,6.972755890804493e-05,4.6794517851993015e-06
34,0.00013701688132015564,2.700270340094848e-08,8.477817751269367e-05,3.017901106059216e-08
35,6.517607323746445e-05,2.0279333750117853e-06,5.19248917540985e-07,5.552978699737788e-07
36,5.866582342688812e-05,0.00031162412399572155,0.0002682094786322828,1.088085623446473e-05
37,0.00015406292284671314,0.00017122925403435514,1.1322754450573027e-05,0.001033760822910732
38,8.3755993542907e-05,1.3395478454651381e-05,7.546691892280156e-06,5.5485997755043906e-08
39,7.448299817923206e-05,3.7092795323887596e-05,5.707096030033938e-05,3.1936864606277815e-05
40,6.327459105222624e-05,1.466205063088543e-05,4.7220634157207615e-06,1.1067560364061669e-05
41,9.982042838152707e-05,7.402931397648477e-06,1.8035159469162928e-07,3.557586466028937e-08
42,7.803157737948262e-05,2.52754849366994e-05,1.499875043146583e-05,1.684689984119283e-05
43,4.864810340372398e-05,4.953630924136876e-05,7.923463073533945e-05,3.049937954973091e-05
44,0.00013840657744438044,2.7660428780298264e-05,2.9574986562664816e-05,3.3614268646120046e-05
45,6.696413390395715e-05,5.776782844302265e-05,6.018003357925952e-05,6.951848575009543e-05
46,0.00012694209627396054,5.624088945024377e-05,6.873971117810693e-05,7.206537532618571e-05
47,6.663345739268372e-05,1.538593788142185e-05,1.172613018399835e-05,2.3775342074050718e-05
48,0.00015203821272611557,5.9875057427488626e-05,8.625179377212316e-05,7.10799691913923e-05
49,0.00018033865004786536,0.00011431272779981163,0.0001631033796263478,0.00012351385113389682
50,0.00016863386522301328,6.382475424408e-05,4.518383150988882e-05,5.425418344402983e-05
51,0.00015676444646654233,9.804040629603786e-05,7.373874428141496e-05,6.864462175599455e-05
52,9.853775482740378e-05,6.405828097252761e-05,6.327468499203329e-05,5.618667954426999e-05
53,0.00017280589955794514,8.166025829961332e-05,6.335294337033623e-05,3.948228915799912e-05
54,8.233673991617356e-05,8.983971457924908e-05,0.00010811452383676623,0.00016363486539549044
55,6.244513487661724e-05,5.827017779140837e-05,2.9327558011064028e-05,4.102747767478624e-05
56,7.903685359042381e-05,3.606826182578827e-05,4.849831637946653e-05,3.733079028730794e-05
57,3.138461406565546e-05,3.097016148001831e-05,3.782473459428994e-05,3.264141449707633e-05
58,7.280679265174222e-05,8.76913273178378e-05,0.0002987147290819842,0.00010186137248741722
59,3.499859124239927e-05,1.4597330750621765e-05,1.811832616691573e-05,2.0024851850635495e-05
60,0.0001264723229194122,0.0001276154250394761,0.00024252978078783945,3.4443911917210644e-05
61,0.00014206338819019743,0.00010295500913743303,0.00012444006640328467,8.689778907029739e-05
62,0.00031208358761815655,0.00017558377205957685,0.0004594286970014142,3.4472943852420935e-05
63,0.00010804601124243837,3.2924917825778594e-05,3.109731368991671e-05,3.177222461038163e-05
64,0.0001485412204054172,9.671079593122912e-05,8.795920640567063e-05,0.0001031730890654669
65,0.00010229832708253673,7.143458998567278e-05,7.301287109724062e-05,0.00012312745096477648
66,7.213526719251707e-05,4.070345870733912e-05,5.880597596824831e-05,5.3680450058489555e-05
67,0.00012084149764007274,7.053994177626931e-05,7.741593095499794e-05,0.00020346697046498723
68,8.817781658158731e-05,6.473254777112878e-05,6.675000989613796e-05,0.0001726039214542422
69,0.00041295546232376234,0.000129368929927474,0.00023952500304825182,0.00030747117475567187
70,0.00015049824909143275,4.4925600706358666e-05,2.711025518567815e-05,2.730394413913351e-05
71,0.000485689546952203,0.00035271821414873127,0.00019242350491339102,1.1878626569876424e-05
72,0.0002505006111800379,0.00013083273705511008,0.00012668920792260094,2.9908728784127898e-06
73,0.0002839938992525863,9.444070244648169e-05,0.0001473974340458663,3.882103138510407e-06
74,0.00017549735360734004,0.00012136728896758939,6.00708249560799e-05,7.418557270872731e-05
75,0.00011459130810245174,5.399283504234962e-05,5.5107578403303205e-05,7.183421341902006e-05
76,0.00012375550905431538,3.9826237096530615e-05,9.531608399228387e-05,0.0001526073584176413
77,0.0001427529348686273,0.00010058310687683333,8.653592305186428e-05,7.780984368328402e-05
78,0.0001529490802729465,9.250225759935685e-05,6.253517284116213e-05,6.533583938546242e-05
79,0.00012825414828875954,8.707421318808191e-05,5.7887021887909206e-05,5.4392592469344734e-05
80,5.740873857500056e-05,2.098602926476053e-05,2.1857714330231398e-05,1.2140743364238087e-05
81,0.0002619811230098822,8.917823658085367e-05,5.905282808068691e-05,7.883563766490718e-05
82,0.00030884955840552916,0.00011774344069357083,0.00016650709654758613,9.545931304783414e-05
83,0.00035285583409439897,0.00013280859412989087,0.00015531969106447779,3.6038788850804053e-06
84,0.00018524961150421796,6.768350080104e-05,5.402492031009051e-05,6.279142159134254e-05
85,0.0002198291249025532,6.199495110626497e-05,6.683759304580201e-05,6.057026554708029e-05
86,7.534572912598222e-05,1.3808280780626794e-05,3.18629002477808e-05,4.67678571847098e-05
87,0.00029203725266953133,8.173235238416313e-05,0.00011785639922264326,5.7036893969778565e-06
88,0.00019868715848346164,0.00014658711894826652,7.105657877751135e-07,1.231676769516343e-06
89,0.000311978936552344,0.00010582540169998047,9.40051221452426e-07,1.7842136484893747e-06
90,0.00029240198470209766,0.00011910142229866779,9.818727226945195e-05,4.70749455670288e-07
91,0.0001552266525264305,3.037382995354945e-05,2.735569458027981e-05,7.982439338346006e-06
92,0.0001301775306698638,4.8663166440372164e-05,3.702447848063487e-05,3.1681973505929e-05
93,0.00011021035963072851,1.7718858346688216e-05,2.1498840804398695e-06,7.405072662280493e-07
94,6.78178082392147e-05,2.4162515762427894e-05,2.5842848376426416e-05,4.7254998751947324e-06
95,0.00010728608564508162,5.397384065020489e-05,3.5430788932061306e-05,9.367406366471838e-06
96,0.0001153704914442846,6.13791656245471e-05,7.303994503823814e-05,8.726554069991897e-05
97,4.963296002281884e-05,1.7231701429623682e-05,3.8379515262021695e-05,2.7873443765396773e-05
98,5.74277778871393e-05,2.007025525705021e-05,1.812999055116783e-05,2.581348205626774e-05
99,0.0001139888929762313,4.4909079087232e-05,5.039417994917221e-05,9.662959587540756e-05
100,0.00016266587595160323,9.406741302840662e-05,0.00011673572119922836,6.943106128451843e-05
101,0.00018121081259497496,0.0001663951274859266,0.00012694438746364752,9.275558638275252e-05
102,0.00018040026158107114,8.673795388865142e-05,6.475898834579565e-05,0.00014782309748019769
