,p1_avg [Pa],p2_avg [Pa],p3_avg [Pa],p1_avg [mb],p2_avg [mb],p3_avg [mb]
98,101651.02118934895,101655.46411415677,101657.64336135311,1016.5102118934897,1016.5546411415677,1016.5764336135312
99,101627.40606186407,101631.82896429999,101633.94605171667,1016.2740606186405,1016.3182896429998,1016.3394605171667
100,101627.92139847083,101632.1483633573,101634.06010714584,1016.2792139847083,1016.3214836335729,1016.3406010714584
101,101615.8147537599,101620.16226532865,101621.91129563177,1016.1581475375989,1016.2016226532866,1016.2191129563176
102,101609.67017171303,101614.2334118396,101615.87499049428,1016.0967017171301,1016.1423341183959,1016.1587499049426
103,101595.67662017708,101600.41662135624,101602.03063171926,1015.9567662017707,1016.0041662135625,1016.0203063171928
104,101605.58115602657,101610.26334011822,101611.70287142554,1016.0558115602657,1016.1026334011823,1016.1170287142552
105,101579.92739007605,101584.96785816406,101586.08825487917,1015.7992739007605,1015.8496785816407,1015.8608825487916
106,101559.15915635104,101564.37391086147,101564.91886982604,1015.5915915635104,1015.6437391086146,1015.6491886982604
107,101539.99602483021,101544.99387952084,101545.82621108803,1015.3999602483021,1015.4499387952084,1015.4582621108802
108,101514.66061012814,101519.46596969168,101519.99706696095,1015.1466061012813,1015.1946596969166,1015.1999706696095
109,101488.93609640312,101493.8533007948,101494.32563170156,1014.8893609640313,1014.9385330079481,1014.9432563170157
110,101453.47007723073,101458.605305475,101458.22070380468,1014.5347007723074,1014.5860530547501,1014.5822070380467
111,101460.65993499635,101465.19199958228,101465.8565598625,1014.6065993499635,1014.651919995823,1014.658565598625
112,101436.75931406145,101441.50192200887,101442.54407904533,1014.3675931406145,1014.4150192200885,1014.425440790453
113,101401.84028917969,101406.62268285366,101407.50965458385,1014.018402891797,1014.0662268285364,1014.0750965458385
114,101361.46166727968,101366.26114759584,101366.89935177812,1013.614616672797,1013.6626114759582,1013.6689935177812
115,101335.3083989724,101340.03422171094,101340.7600509526,1013.353083989724,1013.4003422171095,1013.4076005095261
116,101292.68862916718,101297.68617222187,101298.54665342395,1012.926886291672,1012.9768617222188,1012.9854665342397
117,101230.38108041353,101235.41476762084,101236.36581793228,1012.3038108041354,1012.3541476762083,1012.363658179323
118,101191.89149863385,101197.2665768703,101197.34571999947,1011.9189149863386,1011.9726657687031,1011.9734571999948
119,101178.48271606147,101183.20371704063,101184.57095648594,1011.7848271606144,1011.8320371704061,1011.8457095648592
120,101156.84888975623,101161.34033711666,101162.68517260939,1011.5684888975625,1011.6134033711666,1011.6268517260938
121,101125.96182655416,101130.24782641197,101131.41601425209,1011.2596182655415,1011.3024782641199,1011.3141601425208
122,101069.34802804634,101073.66811326459,101074.81108985053,1010.6934802804635,1010.7366811326457,1010.7481108985054
123,101023.51759924374,101028.11785423334,101028.2741307802,1010.2351759924375,1010.2811785423332,1010.2827413078021
124,101010.3305397125,101014.4980534078,101016.57014360782,1010.103305397125,1010.1449805340781,1010.1657014360782
125,100950.67243577188,100956.61329132917,100957.03230385989,1009.5067243577189,1009.5661329132917,1009.5703230385991
126,100880.42588843072,100886.56622071407,100886.99664535833,1008.8042588843072,1008.8656622071405,1008.8699664535833
127,100837.60816305937,100843.48843886614,100844.24960919478,1008.3760816305938,1008.4348843886614,1008.4424960919479
128,100835.87169551667,100841.63938778281,100842.53667920572,1008.3587169551666,1008.4163938778282,1008.4253667920574
129,100842.88596484269,100848.32312849376,100849.73904217708,1008.4288596484271,1008.4832312849376,1008.4973904217708
130,100851.00592135261,100856.10288603907,100857.91023479376,1008.510059213526,1008.5610288603907,1008.5791023479375
131,100836.97256985054,100841.93551545781,100843.8243580651,1008.369725698505,1008.4193551545782,1008.438243580651
132,100855.57022087552,100860.11748299583,100861.9452661849,1008.5557022087552,1008.6011748299585,1008.619452661849
133,100868.96320695053,100873.09028408333,100874.80816297082,1008.6896320695051,1008.7309028408333,1008.7480816297084
134,100920.66368980834,100923.94594754792,100926.52035033802,1009.2066368980834,1009.2394594754791,1009.2652035033802
135,100940.10472199114,100943.28351799531,100946.00917322241,1009.4010472199116,1009.4328351799533,1009.4600917322239
136,100945.41983305468,100948.90602070311,100951.45853410885,1009.4541983305469,1009.4890602070312,1009.5145853410886
137,100944.80857384791,100949.09298578958,100951.1202398224,1009.4480857384791,1009.4909298578958,1009.5112023982239
138,100901.37701368645,100906.1236682401,100907.87064824426,1009.0137701368647,1009.0612366824012,1009.0787064824428
139,100925.76035589479,100930.26661072813,100931.3956808224,1009.2576035589481,1009.3026661072811,1009.3139568082239
140,101013.92736780521,101019.20511095366,101015.55829789687,1010.1392736780522,1010.1920511095366,1010.1555829789687
141,101081.96491105208,101087.41690796198,101085.12101507708,1010.8196491105208,1010.8741690796198,1010.8512101507708
142,101096.88288528177,101102.6546896422,101101.82685133073,1010.9688288528178,1011.0265468964219,1011.0182685133074
143,101087.88251472918,101093.82862851511,101092.79655130886,1010.8788251472916,1010.9382862851511,1010.9279655130885
144,101115.6415015698,101120.85247930886,101121.65550911563,1011.1564150156979,1011.2085247930886,1011.2165550911562
145,101064.64220756145,101070.21621904062,101070.96063736822,1010.6464220756145,1010.7021621904063,1010.7096063736823
146,101173.35988395156,101177.49797984582,101179.16730415885,1011.7335988395157,1011.7749797984583,1011.7916730415885
147,101093.93229444532,101096.87966440053,101099.04304716876,1010.939322944453,1010.9687966440051,1010.9904304716875
148,101058.59058927449,101061.14966565938,101063.80079340156,1010.5859058927448,1010.6114966565937,1010.6380079340157
149,101072.19095492655,101074.55813767709,101076.11710775156,1010.7219095492655,1010.7455813767708,1010.7611710775157
150,101029.85324716457,101033.60427976197,101034.97889013594,1010.2985324716459,1010.3360427976198,1010.3497889013594
151,101002.8627332099,101007.19437728127,101009.08035552083,1010.028627332099,1010.0719437728126,1010.0908035552083
152,100992.89191898177,100997.2118811672,100999.24059843957,1009.9289191898177,1009.9721188116717,1009.9924059843959
153,101077.36076851093,101081.91732236772,101083.90429356719,1010.7736076851093,1010.819173223677,1010.839042935672
154,101037.47775918958,101041.1167634625,101042.45266184062,1010.3747775918957,1010.411167634625,1010.4245266184063
155,101082.55479629688,101086.48541004947,101088.07395232968,1010.8255479629687,1010.8648541004948,1010.8807395232969
156,101116.78901835521,101121.34378481719,101122.60938331406,1011.1678901835519,1011.2134378481718,1011.2260938331407
157,101143.36770687552,101147.52659363335,101148.9122075953,1011.4336770687551,1011.4752659363332,1011.4891220759531
158,101159.97407904686,101163.75070857657,101165.13828806093,1011.5997407904687,1011.6375070857656,1011.6513828806094
159,101146.27819759064,101149.47449358749,101150.29629501459,1011.4627819759063,1011.4947449358749,1011.502962950146
160,101164.05120885625,101166.54260901925,101166.82483334323,1011.6405120885624,1011.6654260901927,1011.6682483334321
161,101188.92555459635,101191.61577250207,101191.92099868123,1011.8892555459636,1011.9161577250209,1011.9192099868126
162,101216.16907681979,101218.70999389635,101219.89399816771,1012.1616907681979,1012.1870999389635,1012.1989399816771
163,101255.79359925365,101257.50618174947,101258.17669669323,1012.5579359925364,1012.5750618174948,1012.5817669669324
164,101286.02687165365,101286.1514580802,101287.20603029271,1012.8602687165364,1012.861514580802,1012.872060302927
165,101313.78212333126,101312.01926659427,101313.33173402918,1013.1378212333125,1013.1201926659428,1013.1333173402917
166,101351.20826963021,101348.9006269125,101351.1191552453,1013.5120826963021,1013.489006269125,1013.511191552453
167,101359.78088381041,101357.85328291354,101361.27147016094,1013.597808838104,1013.5785328291353,1013.6127147016094
168,101355.15574089323,101352.1842285914,101356.03289368332,1013.5515574089324,1013.5218422859141,1013.5603289368333
169,101357.56038697083,101356.52458367552,101360.22815876354,1013.5756038697083,1013.5652458367553,1013.6022815876355
170,101377.67327343384,101377.14743899532,101380.84361454687,1013.7767327343386,1013.771474389953,1013.8084361454687
171,101423.65722894011,101424.25391538905,101427.43217313802,1014.2365722894011,1014.2425391538907,1014.2743217313802
172,101440.26798117554,101442.41878227604,101445.0288151297,1014.4026798117553,1014.4241878227602,1014.450288151297
173,101456.87757408855,101459.99256176042,101461.81389280624,1014.5687757408854,1014.5999256176042,1014.6181389280626
174,101462.04778335938,101466.34835739636,101467.77966030105,1014.6204778335937,1014.6634835739635,1014.6777966030105
175,101465.39503502604,101469.79360680676,101470.72819597083,1014.6539503502603,1014.6979360680676,1014.7072819597084
176,101469.41511813436,101474.58983335261,101475.61322159844,1014.6941511813437,1014.7458983335259,1014.7561322159844
177,101466.46762515469,101471.54008083385,101472.75251374583,1014.6646762515469,1014.7154008083387,1014.7275251374584
178,101464.58306557135,101469.41900039325,101470.72587209323,1014.6458306557136,1014.6941900039322,1014.7072587209323
179,101464.12986292237,101468.79209835053,101470.46888021198,1014.641298629224,1014.6879209835051,1014.7046888021197
180,101468.7216874568,101472.98197929532,101474.67533945364,1014.6872168745676,1014.729819792953,1014.7467533945364
181,101475.97460209166,101479.95289334844,101481.21001330364,1014.7597460209167,1014.7995289334845,1014.8121001330366
182,101481.61306173021,101485.6958942198,101486.30413073386,1014.8161306173021,1014.8569589421979,1014.8630413073384
183,101498.92576480938,101502.54106620261,101503.12531924271,1014.9892576480938,1015.025410662026,1015.0312531924271
184,101509.19105552242,101512.9163863396,101513.31231709168,1015.091910555224,1015.1291638633958,1015.1331231709166
185,101523.09956420418,101526.93765095313,101527.38501589323,1015.2309956420416,1015.2693765095313,1015.2738501589322
186,101528.11594118596,101531.70996834585,101532.476332475,1015.2811594118593,1015.3170996834584,1015.32476332475
187,101540.67013718022,101544.55178665782,101545.07211529322,1015.4067013718021,1015.4455178665781,1015.4507211529324
188,101555.71200796407,101560.03483710886,101560.48216336199,1015.5571200796406,1015.6003483710884,1015.6048216336197
189,101568.51254200729,101573.2646388875,101573.0138627026,1015.685125420073,1015.7326463888751,1015.7301386270261
190,101600.31600912969,101604.83389778907,101604.32816474634,1016.0031600912969,1016.0483389778907,1016.0432816474635
191,101640.21094444008,101644.49607381561,101644.01556646406,1016.402109444401,1016.4449607381562,1016.4401556646407
192,101677.99649030677,101682.77182719583,101682.6201097578,1016.7799649030676,1016.8277182719582,1016.8262010975782
193,101743.70032762135,101748.52284813073,101745.35308214114,1017.4370032762137,1017.4852284813073,1017.4535308214114
194,101817.91581167499,101822.13877239478,101821.49857890104,1018.17915811675,1018.2213877239479,1018.2149857890104
195,101833.74288418438,101838.82617438593,101840.18372651667,1018.3374288418437,1018.3882617438594,1018.4018372651667
196,101886.18239072761,101891.76349223437,101891.71038862916,1018.8618239072761,1018.9176349223436,1018.9171038862916
197,101931.30803149584,101936.5182003073,101937.48542412084,1019.3130803149584,1019.3651820030731,1019.3748542412084
198,101952.36034552292,101957.16642910104,101958.13338721564,1019.5236034552291,1019.5716642910104,1019.5813338721563
199,101967.59945657241,101971.84656212186,101972.52554850104,1019.675994565724,1019.7184656212188,1019.7252554850104
200,101997.09497538334,102001.00290895313,102001.89761341666,1019.9709497538333,1020.0100290895311,1020.0189761341666
201,102026.4752008302,102030.25538085833,102031.21626474323,1020.264752008302,1020.3025538085834,1020.3121626474323
202,102055.40767585573,102059.16295191617,102060.20747303436,1020.5540767585574,1020.5916295191614,1020.6020747303439
203,102088.02427024949,102091.7093242875,102092.88919581668,1020.8802427024947,1020.917093242875,1020.9288919581667
204,102129.0591890031,102132.7855049823,102134.21231699896,1021.2905918900311,1021.327855049823,1021.3421231699896
205,102174.64255422866,102178.34384595002,102180.15177767084,1021.7464255422864,1021.7834384595001,1021.8015177767084
206,102212.80134700783,102216.47307171873,102218.46394625418,1022.1280134700781,1022.1647307171875,1022.1846394625417
207,102232.2476548849,102235.92321029634,102237.6105943901,1022.322476548849,1022.3592321029636,1022.3761059439009
208,102250.21586521876,102253.83303784688,102255.54376075782,1022.5021586521876,1022.5383303784688,1022.5554376075781
209,102281.40104736718,102285.02337417501,102286.8321488797,1022.8140104736717,1022.8502337417499,1022.8683214887969
210,102304.3282336125,102307.98161644844,102309.5988258724,1023.0432823361251,1023.0798161644846,1023.0959882587239
211,102336.51935809373,102340.04979994218,102341.82922239999,1023.3651935809376,1023.4004979994218,1023.4182922240001
212,102360.76689081355,102364.33401454061,102365.84202164061,1023.6076689081353,1023.6433401454061,1023.6584202164063
213,102375.2661700888,102379.11303990158,102380.37285157343,1023.752661700888,1023.7911303990156,1023.8037285157344
214,102373.90740869689,102377.85714486198,102378.51439564166,1023.7390740869687,1023.7785714486197,1023.7851439564166
215,102402.32364996824,102406.45984254895,102407.39282567083,1024.0232364996823,1024.0645984254895,1024.0739282567083
216,102431.76139602083,102435.92640529168,102437.14588070054,1024.3176139602085,1024.3592640529166,1024.3714588070052
217,102459.03270769531,102463.18265444688,102464.5079290099,1024.5903270769531,1024.6318265444688,1024.645079290099
218,102472.24910555365,102476.41889041511,102477.72826324479,1024.7224910555362,1024.764188904151,1024.777282632448
219,102487.66726091302,102491.83191766823,102493.20928732396,1024.8766726091303,1024.9183191766822,1024.9320928732398
220,102492.13209537187,102496.31606817969,102497.62838581458,1024.9213209537186,1024.9631606817968,1024.976283858146
221,102488.63072201094,102492.70832388074,102493.9129388927,1024.8863072201093,1024.9270832388074,1024.939129388927
222,102472.44433413542,102476.73226591093,102477.7062756026,1024.7244433413541,1024.7673226591094,1024.777062756026
223,102494.10897573543,102498.38807599428,102499.61320899687,1024.9410897573541,1024.9838807599424,1024.9961320899688
224,102509.51840925572,102513.86717774844,102515.19203492865,1025.0951840925575,1025.1386717774842,1025.1519203492862
225,102508.20684615416,102512.60960101301,102513.85435929114,1025.0820684615417,1025.1260960101304,1025.1385435929114
226,102523.12600829115,102527.51099725623,102528.77054862551,1025.2312600829114,1025.2751099725626,1025.2877054862554
227,102536.69556545782,102540.9718029125,102542.39427995052,1025.366955654578,1025.4097180291249,1025.423942799505
228,102532.7461623401,102537.10857606928,102538.50050770678,1025.327461623401,1025.3710857606925,1025.3850050770677
229,102551.1398037625,102555.49734124895,102556.918729825,1025.511398037625,1025.5549734124897,1025.5691872982497
230,102563.86876474376,102568.2995964547,102569.80338421614,1025.6386876474373,1025.682995964547,1025.6980338421613
231,102598.47185981771,102602.9165418375,102604.5663482172,1025.9847185981773,1026.0291654183748,1026.045663482172
232,102638.60199310469,102643.04826209792,102644.80931598594,1026.386019931047,1026.4304826209793,1026.4480931598594
233,102661.49026937656,102665.92545314322,102667.74095676668,1026.6149026937658,1026.6592545314322,1026.6774095676667
234,102685.71812386301,102690.26249531667,102692.03059163802,1026.8571812386303,1026.9026249531669,1026.9203059163801
235,102728.69755209688,102733.3215858349,102734.99273114739,1027.2869755209686,1027.333215858349,1027.349927311474
236,102787.29993739011,102791.9218246276,102793.36726697032,1027.8729993739012,1027.919218246276,1027.9336726697031
237,102811.21254756927,102815.96069741406,102817.37656648125,1028.1121254756927,1028.1596069741408,1028.1737656648127
238,102813.08153778229,102818.00364216042,102819.29729076562,1028.130815377823,1028.180036421604,1028.1929729076562
239,102802.83071818124,102807.79739373177,102809.1824254927,1028.0283071818126,1028.0779739373177,1028.0918242549271
240,102794.79362641303,102799.78454302708,102801.15753058698,1027.94793626413,1027.9978454302707,1028.0115753058697
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,102675.03606028542,102680.51373562656,102680.83234062447,1026.7503606028542,1026.8051373562655,1026.8083234062449
260,102662.84315692814,102668.53953872656,102668.803830675,1026.6284315692812,1026.6853953872655,1026.68803830675
261,102661.70135527448,102666.6166312276,102667.39676694636,1026.617013552745,1026.6661663122761,1026.6739676694635
262,102692.05374743073,102697.31644297969,102697.77436265208,1026.9205374743071,1026.973164429797,1026.9777436265206
263,102673.23760968907,102678.63627466979,102678.86818770572,1026.7323760968907,1026.786362746698,1026.7886818770573
264,102634.58175299947,102640.31167954323,102640.0542993422,1026.3458175299947,1026.4031167954322,1026.4005429934218
265,,,,,,
266,102601.65228550938,102606.48678598802,102607.41979334115,1026.0165228550939,1026.0648678598802,1026.0741979334116
267,102608.4825239453,102612.71392031407,102613.5399542427,1026.0848252394533,1026.1271392031406,1026.135399542427
268,102581.26572860313,102585.64637943594,102586.83319247606,1025.8126572860313,1025.8564637943593,1025.8683319247602
269,102557.5024369875,102561.94503850155,102563.05333839323,1025.5750243698749,1025.6194503850156,1025.6305333839323
270,102544.05236090417,102548.36400467031,102549.12047375728,1025.4405236090417,1025.4836400467032,1025.4912047375726
271,102491.99658905156,102496.3422806995,102497.44967445364,1024.9199658905154,1024.963422806995,1024.9744967445365
272,102506.38080462969,102510.48087833228,102511.12754421667,1025.0638080462968,1025.104808783323,1025.1112754421667
273,102483.08492435937,102487.45971151927,102488.42800321666,1024.8308492435935,1024.8745971151927,1024.8842800321668
274,102459.84242289168,102464.59855700313,102465.20193090886,1024.5984242289169,1024.6459855700311,1024.6520193090885
275,102434.18878730052,102438.84607455676,102439.36833306718,1024.3418878730054,1024.3884607455677,1024.3936833306718
276,102422.34389728752,102427.54016684167,102427.57703291459,1024.2234389728749,1024.2754016684166,1024.2757703291459
277,102382.88992588852,102388.52936768802,102388.18226784063,1023.8288992588855,1023.8852936768803,1023.8818226784063
278,102339.4734716073,102344.96663309375,102344.84303002708,1023.394734716073,1023.4496663309376,1023.4484303002707
