,Ubar_s2,U_horiz_s2,U_streamwise_s2,Umedian_s2,Tbar_s2,Tmedian_s2,UpWp_bar_s2,VpWp_bar_s2,WpTp_bar_s2,WpEp_bar_s2,TKE_bar_s2
5407,9.364334350456396,9.383717713600964,9.394560587499088,9.36384005556193,291.1730268229166,291.16999999999996,-0.121493221823627,0.028181578076382933,-0.01063873857332623,0.03269742284161508,0.6851505954296537
5408,9.620769927892416,9.640755624710415,9.651724610422082,9.591575527103153,291.22727265624997,291.21999999999997,-0.13568541793068928,0.047634938840665685,-0.013079974668235034,0.03510703723734561,0.7522328994499715
5409,9.631636648019963,9.649265533398488,9.659934027534854,9.624005525074098,291.1988869791666,291.19,-0.13935297264976557,0.035397892047791105,-0.012285136562358667,0.03511241713245221,0.7263335327317642
5410,9.289743055756523,9.305694391198546,9.316385238241164,9.289074865605132,291.2021875,291.2,-0.1262822407026701,0.05035490978994595,-0.012637074518813437,0.025085828998345192,0.6781516075775147
5411,9.229469515618625,9.245897294118981,9.255841782645673,9.217205279765672,291.23669375,291.22999999999996,-0.12983047568961478,0.032102943776312676,-0.012435408838649355,0.02645999226250808,0.6057176539558919
5412,8.699609654728746,8.723607099962987,8.733110066699567,8.680080350036615,291.1727828125,291.16999999999996,-0.11778214211859739,0.031218585701142647,-0.01222728613937884,-0.017505054810526773,0.6751860799301147
5413,8.905938748390378,8.923345096879782,8.932993511031489,8.87949225027361,291.16846171875,291.15999999999997,-0.11629392264795525,0.012756822139879618,-0.012057879871895164,0.004799603047494113,0.6776805798406984
5414,9.205261803577965,9.225078714736775,9.235845072769093,9.192885308779877,291.13583619791666,291.13,-0.13206123917700674,0.0075479413525234365,-0.01364215052395072,0.00047190294268999606,0.6985384685353258
5415,9.146031268954568,9.167103798083687,9.176382462200392,9.155425634523333,291.13017760416665,291.13,-0.09543615543909137,0.004831739102371074,-0.010555511545470152,0.027067656888786776,0.6541093403697034
5416,9.03930289132891,9.058687691269844,9.067881228055837,9.037470569584592,291.11971640625,291.12,-0.10241334540078145,0.001708096883503718,-0.010364938392105751,0.028209630596446076,0.5916262794396634
5417,9.024017223666931,9.042340327869773,9.051915341617207,9.009407366325629,291.1960841145833,291.19,-0.10410935937699922,0.022811079400952526,-0.01030998226855754,0.022549032389709924,0.6307584391255358
