,z/L,phi_eps
0,-0.1318633898571465,0.5699465718824144
1,-0.1292948074971662,1.2559872937385048
2,-0.0910375280307279,2.083061201065964
3,-0.1792912377092951,0.6586668028736853
4,-0.1492956666192042,0.48792763278880424
5,-0.261073456920665,0.9927183759563697
6,-0.1423105610334105,0.49904353205362173
7,-0.1095803486154412,0.31344379722232285
8,-0.133683065078993,1.2864485992929733
9,-0.1243805204393541,0.8021149462925801
10,-0.1004765158173591,0.3473723180082492
11,-0.1292691506055162,0.9187322419066355
12,-0.2002162642485657,0.9323097700537581
13,-0.1161518575041461,1.4010463067389747
14,-0.0527969591797316,0.749548583831586
15,-0.0475923906354957,0.5323968109049295
16,-0.049491314219389,
17,-0.0791087292655721,
18,-0.1535844374901753,
19,-0.0660777945526258,0.31435536014617044
20,-0.3297570006886146,0.9282228693578165
21,0.1359653640132999,1.6987507953490724
22,-0.0688439371402227,1.7284701310978778
23,0.1723614385272124,2.4739979784867625
24,0.158024932633717,1.0358249198401912
25,0.1660331209721683,2.5116048158572766
26,0.1343171277936456,1.264389854778465
27,0.260191173942274,1.9373860078321998
28,0.2397363323096159,0.8536716298727903
29,0.2864683436270387,1.1555926507120302
30,0.3303171284100443,6.543002662634013
31,0.4171828356744186,2.0768280593149995
32,0.451758430160236,4.006598582786365
33,0.5030713082408298,2.047194338146155
34,0.3148465166299216,4.581459712442328
35,0.9052320759954782,2.7222451475890166
36,0.2231023248267547,1.780244921075425
37,0.1087248546714051,1.8347977512410822
38,0.1677997449100318,3.271495877843473
39,0.0895251047426345,1.437736217343597
40,0.1344007298155572,1.9856201912818836
41,0.1794722733469178,4.252049910300865
42,0.09839667328431,1.640206462799429
43,0.0670604713254949,1.2810386901165023
44,0.0798660140210961,1.2721882278380139
45,0.0624434044311526,1.0964657446199033
46,0.0489884345918401,0.9669506091546195
47,0.0590101190217224,1.4244546403287544
48,0.0516623609913106,1.056481774415989
49,0.0379158668746021,0.9637934073438708
50,0.0330154630989568,1.3665458942277948
51,0.0342612923457262,1.0604614268459578
52,0.0333309185808092,1.065424794740983
53,0.0412354800831671,1.175911814941336
54,0.039507189224173,0.8659987547191033
55,0.0387997619058637,1.1114289143794593
56,0.0351596250060812,1.0477235347109313
57,0.0276451868866421,0.9034196225412376
58,0.0350301541100138,0.855213819586959
59,0.0422883312850252,1.1145763445638863
60,0.0363816879680378,1.0321718464398415
61,0.0336535805197049,1.0245614978929032
62,0.0398296410814855,1.0935709486733645
63,0.0302641404870964,1.3031446617609448
64,0.0324212215031635,0.9675985461177867
65,0.0274727800722847,1.1437526422043913
66,0.0370819345338733,1.0301093451230565
67,0.0314718378544695,1.005246418308727
68,0.0378089735751736,1.0194071560456894
69,0.0504347496799626,0.9184326103988831
70,0.0750664421045198,1.4290406951069907
71,0.0482864735518107,1.6528576750853305
72,0.045523737181275,1.835883110719684
73,0.0410519059497379,1.82920152389604
74,0.0281251790952458,1.1225758222525952
75,0.0338963899573783,1.1427070912074155
76,0.030040504472023,1.0297608475317022
77,0.0532551825813373,1.2043172952666124
78,0.047146045215482,1.0675793258072823
79,0.0362245168630716,1.1983759157574014
80,0.0356291879930312,1.2062757992372344
81,0.0386443062246779,1.4165548327300737
82,0.0243916033990144,1.0418356019282826
83,0.0341286783748481,1.7334140427111961
84,0.0281739874308177,1.1423976586185676
85,0.0280700547348318,1.3142418521761026
86,0.0388096989670048,1.0915846423514663
87,0.0363166762965581,1.6117266971321287
88,0.0450259645138918,3.3390404705015335
89,0.0383543101278188,3.012706783071568
90,0.0358024211359571,2.381298302293992
91,0.0258974017512677,1.3931764070766568
92,0.0370331291478818,0.9346302725718015
93,0.0862706991732255,2.732539607539744
94,0.0622211807017385,1.34402360488743
95,0.0273359208214685,1.2721976926823815
96,0.0355195486093927,1.3121360610109543
97,0.0426624346150692,1.017368116209902
98,0.0379417632441399,1.0986043917809956
99,0.0370437884804758,0.9916566716327512
100,0.0346876167734772,1.1071263828664253
101,0.0404098145801983,1.263149779084055
102,0.0417676813515018,1.139244372859903
103,0.0465768893037475,1.0538163514834
104,0.0419876616441419,0.9746226226204897
105,0.0433427691192404,0.8735545059407406
106,0.0386843299996531,0.9060068652923863
107,0.0492461885312981,1.0702030195708647
108,0.0475166964041165,1.0312534782210299
109,0.0482871933196564,1.1492115062700754
110,0.0492545463567789,1.0060464781159675
111,0.043443881227099,1.264326399968657
112,0.066834292459759,1.1686149251325488
113,0.0582765121530765,1.0701372071654802
114,0.0610005710447683,1.1884902820053567
115,0.0582476094775752,1.2634572210873585
116,0.0707103082515104,1.1556299934455976
117,0.0653109466243867,1.0727283949093736
118,0.0578916837988012,1.3803466921638834
119,0.1230406846994838,1.9567448676638346
120,0.0724984038168509,1.0424461449680709
121,0.0921528751993369,1.835834264259236
122,0.0676649660373992,1.0224080480418798
123,0.0806401261509071,1.8939299810450123
124,0.2810943951182075,4.450289716390028
125,0.087608229947128,1.160080630345902
126,0.083291541346385,1.0875668384338406
127,0.1529933131684342,1.4924852688003432
128,0.1005712529188959,1.1491780450748186
129,0.1014992611991028,1.2946291767185456
130,0.1087388374236581,1.2497128600353182
131,0.1509168204922559,1.3511476765631258
132,0.1138467612999026,1.3042011694158873
133,0.0822409703099048,1.2967067651839428
134,0.6655837667685617,36.081965531656515
135,0.2118927105231254,1.921794073519235
136,0.289472766475828,2.088306066874955
137,0.897801424600403,8.02684825011905
138,0.322239714212576,1.8955873678635662
139,0.268979435267237,0.6007135027983344
140,1.307286590823575,0.9200379619974246
141,-1.2007649396539275,0.5393574257203255
