,jd,u,zu,ta,zt,rh,zq,P,Tsea,sw_dn,lw_dn,lat,lon,Zi,rain,Ss,Cp,sigH,tsg,Ts_depth,tsnk,ztsg
0,105.0,6.14166528322683,10.393,9.386594166666669,10.393,89.28433333333334,6.358000000000001,1012.5088736920416,9.4414358675,105.0,105.0,41.5777,-70.74611,600.0,0.0,,,,9.4414358675,4.317,9.4414358675,4.317
1,105.012,5.699396149648695,10.388000000000002,9.40664958333332,10.388000000000002,88.49166666666666,6.3530000000000015,1013.1806662645782,9.459284494833334,105.012,105.012,41.5777,-70.74611,600.0,0.0,,,,9.459284494833334,4.322,9.459284494833334,4.322
2,105.024,5.157570013311053,10.407000000000002,9.40331416666669,10.407000000000002,88.54091666666667,6.372000000000002,1013.3839330137812,9.45625483475,105.024,105.024,41.5777,-70.74611,600.0,0.0,,,,9.45625483475,4.303,9.45625483475,4.303
3,105.036,3.99836936227467,10.3335,9.429501666666624,10.3335,88.7135,6.2985000000000015,1013.8003490447292,9.43678839,105.036,105.036,41.5777,-70.74611,600.0,0.0,,,,9.43678839,4.3765,9.43678839,4.3765
4,105.048,4.744827850562264,10.332,9.395945416666677,10.332,88.926,6.2970000000000015,1013.7101579461406,9.416424165583331,105.048,105.048,41.5777,-70.74611,600.0,0.0,,,,9.416424165583331,4.378,9.416424165583331,4.378
5,105.06,4.44417242884064,10.294,9.407138750000001,10.294,89.87866666666666,6.259000000000001,1013.5836327399636,9.396023751416664,105.06,105.06,41.5777,-70.74611,600.0,0.0,,,,9.396023751416664,4.416,9.396023751416664,4.416
6,105.072,4.856584561541413,10.2495,9.44367416666671,10.2495,90.593,6.214500000000001,1013.7791545061614,9.353096053666668,105.072,105.072,41.5777,-70.74611,600.0,0.0,,,,9.353096053666668,4.4605,9.353096053666668,4.4605
7,105.084,4.301760137651372,10.2015,9.44953833333335,10.2015,90.51975,6.166500000000001,1014.0148987562916,9.32012077325,105.084,105.084,41.5777,-70.74611,600.0,0.0,,,,9.32012077325,4.5085,9.32012077325,4.5085
8,105.096,4.324384752182104,10.175,9.515743750000013,10.175,90.20016666666666,6.1400000000000015,1013.8248465418698,9.288982030916667,105.096,105.096,41.5777,-70.74611,600.0,0.0,,,,9.288982030916667,4.535,9.288982030916667,4.535
9,105.108,5.367096336053263,10.1245,9.618809999999996,10.1245,89.1095,6.089500000000001,1013.8768782982448,9.28371975175,105.108,105.108,41.5777,-70.74611,600.0,0.0,,,,9.28371975175,4.5855,9.28371975175,4.5855
10,105.12,5.349662837874136,10.070500000000004,9.634476250000034,10.070500000000004,88.50591666666668,6.035500000000002,1014.2893152368388,9.281872877416664,105.12,105.12,41.5777,-70.74611,600.0,0.0,,,,9.281872877416664,4.6395,9.281872877416664,4.6395
11,105.132,5.018794917433178,10.034000000000002,9.681154166666715,10.034000000000002,88.9965,5.999000000000001,1014.839275784927,9.306867650166668,105.132,105.132,41.5777,-70.74611,600.0,0.0,,,,9.306867650166668,4.676,9.306867650166668,4.676
12,105.144,4.3940066940007805,9.9225,9.761632916666656,9.9225,89.535,5.887500000000001,1014.7914615979272,9.314500212416666,105.144,105.144,41.5777,-70.74611,600.0,0.0,,,,9.314500212416666,4.7875000000000005,9.314500212416666,4.7875000000000005
13,105.156,5.007392046772532,9.8395,10.082301249999944,9.8395,90.36233333333334,5.804500000000002,1016.519972333906,9.28654749125,105.156,105.156,41.5777,-70.74611,600.0,0.0,,,,9.28654749125,4.8705,9.28654749125,4.8705
14,105.168,3.9510977748525846,9.692500000000004,9.787364583333328,9.692500000000004,91.30733333333332,5.6575000000000015,1015.9632625582811,9.241360057833331,105.168,105.168,41.5777,-70.74611,600.0,0.0,,,,9.241360057833331,5.0175,9.241360057833331,5.0175
15,105.18,3.611663692831215,9.602500000000004,9.551020833333268,9.602500000000004,91.86591666666668,5.567500000000002,1015.314059746573,9.20830157375,105.18,105.18,41.5777,-70.74611,600.0,0.0,,,,9.20830157375,5.1075,9.20830157375,5.1075
16,105.192,,9.5415,,9.5415,92.5165,5.506500000000001,1015.4298451842344,9.197553721916666,105.192,105.192,41.5777,-70.74611,600.0,0.0,,,,9.197553721916666,5.1685,9.197553721916666,5.1685
17,105.204,,9.463,,9.463,92.30808333333331,5.428000000000002,1016.151818871578,9.193673529166666,105.204,105.204,41.5777,-70.74611,600.0,0.0,,,,9.193673529166666,5.247,9.193673529166666,5.247
18,105.216,,9.3855,,9.3855,92.40366666666668,5.350500000000001,1016.4626888768804,9.18630345125,105.216,105.216,41.5777,-70.74611,600.0,0.0,,,,9.18630345125,5.3245,9.18630345125,5.3245
19,105.228,2.592052417741741,9.346000000000002,9.394951249999963,9.346000000000002,92.013,5.311000000000002,1016.8960590361928,9.160072854333333,105.228,105.228,41.5777,-70.74611,600.0,0.0,,,,9.160072854333333,5.364,9.160072854333333,5.364
20,105.24,2.941183835596599,9.2785,9.727339166666695,9.2785,92.77325,5.243500000000001,1016.9525533010988,9.1530183835,105.24,105.24,41.5777,-70.74611,600.0,0.0,,,,9.1530183835,5.4315,9.1530183835,5.4315
21,105.252,3.650024934332828,9.2695,9.895112916666676,9.2695,93.31258333333332,5.2345000000000015,1016.988624063771,9.152502563416666,105.252,105.252,41.5777,-70.74611,600.0,0.0,,,,9.152502563416666,5.4405,9.152502563416666,5.4405
22,105.264,3.378025181485467,9.257,10.252273333333278,9.257,93.16008333333332,5.222000000000001,1016.9981729377656,9.147660759416668,105.264,105.264,41.5777,-70.74611,600.0,0.0,,,,9.147660759416668,5.453,9.147660759416668,5.453
23,105.276,3.0707234558890057,9.248,10.179909583333313,9.248,92.71558333333331,5.213000000000001,1016.9489908533386,9.151122767583333,105.276,105.276,41.5777,-70.74611,600.0,0.0,,,,9.151122767583333,5.462,9.151122767583333,5.462
24,105.288,3.900568493515213,9.257500000000002,9.744243333333316,9.257500000000002,87.49415833333333,5.222500000000002,1017.272035497802,9.159244003583334,105.288,105.288,41.5777,-70.74611,600.0,0.0,,10.133899047333111,0.1718163154892193,9.159244003583334,5.4525,9.159244003583334,5.4525
25,105.3,4.430087393315654,9.278000000000002,10.303333749999922,9.278000000000002,80.27295833333334,5.243000000000001,1017.6855498606876,9.174966728333334,105.3,105.3,41.5777,-70.74611,600.0,0.0,,8.120792656221338,0.1875776060755452,9.174966728333334,5.432,9.174966728333334,5.432
26,105.312,4.649812089556312,9.283,10.456917916666669,9.283,72.52538333333334,5.248000000000001,1017.9359005960312,9.18579487425,105.312,105.312,41.5777,-70.74611,600.0,0.0,,8.312062694199,0.210663252082856,9.18579487425,5.427,9.18579487425,5.427
27,105.324,4.933686869997097,9.3535,10.76286458333334,9.3535,67.068775,5.318500000000001,1018.2206015907605,9.201310220666668,105.324,105.324,41.5777,-70.74611,600.0,0.0,,8.50333273217666,0.2337488980901668,9.201310220666668,5.3565,9.201310220666668,5.3565
28,105.336,4.938698341019619,9.393,11.178724583333292,9.393,58.37976666666667,5.358000000000001,1018.5054006737032,9.227494157583331,105.336,105.336,41.5777,-70.74611,600.0,0.0,,2.862279005225419,0.2302508112755359,9.227494157583331,5.317,9.227494157583331,5.317
