,index_arr,date_time,temp_therm1,temp_therm2,temp_therm3,temp_therm4,temp_therm5,temp_therm6,temp_therm7,temp_therm8,temp_therm9,temp_therm10,temp_therm11,temp_therm12,z_therm1
0,47399.5,2022-04-15 00:09:59.500,9.4414358675,9.442638288416667,9.433553343666667,9.42178120575,9.393213013416666,9.352109076083334,9.293257004916667,9.196324978416666,9.072821446916667,8.873570816083333,8.53615056925,8.16719728525,4.317
1,48599.5,2022-04-15 00:29:59.500,9.459284494833334,9.458637301916667,9.4477704365,9.4321906925,9.39833725325,9.344919463916668,9.268541341083335,9.169138348,9.056228971833333,8.929901676166667,8.712877852166667,8.160458131083333,4.322
2,49799.5,2022-04-15 00:49:59.500,9.45625483475,9.458155249083333,9.4492697695,9.43786152375,9.410048769,9.363591970916668,9.29585329625,9.175278242833333,9.04687717625,8.7462475335,8.476187359083333,8.14251680475,4.303
3,50999.5,2022-04-15 01:09:59.500,9.43678839,9.43906647625,9.431804201416666,9.420575256000001,9.390287220916667,9.333978783,9.211437787583334,9.067324048333333,8.854473981833333,8.637410221583334,8.411699905,8.136399407416667,4.3765
4,52199.5,2022-04-15 01:29:59.500,9.416424165583333,9.417939592083334,9.411851023416666,9.403637570833332,9.374743228916667,9.292206198499999,9.177343236499999,9.01335794925,8.843509698333333,8.693759363166667,8.499429403583333,8.23138272375,4.378
5,53399.5,2022-04-15 01:49:59.500,9.396023751416665,9.398849928166666,9.392544401,9.387773253666666,9.364381466083334,9.320232358333334,9.268165237916666,9.153582540916666,8.950521250416667,8.735397365666666,8.534169595833333,8.227419217833333,4.416
6,54599.5,2022-04-15 02:09:59.500,9.353096053666667,9.354724788499999,9.349451220999999,9.340063635416668,9.310763967583332,9.26986522875,9.245080447333333,9.214340350333334,9.124659631083334,8.782442043,8.53057774825,8.196701301583333,4.4605
7,55799.5,2022-04-15 02:29:59.500,9.32012077325,9.323571133916666,9.3197101935,9.317330143166668,9.302426217666666,9.283195467333334,9.241997104416667,9.181668179416667,9.113089732833334,8.87753683325,8.603941032,8.265859879583333,4.5085
8,56999.5,2022-04-15 02:49:59.500,9.288982030916667,9.289329599333334,9.276037193,9.259530595833333,9.23374734775,9.185412281166666,9.103790676916667,8.97568620725,8.854721476333333,8.727328123833333,8.513281701666667,8.171847727833333,4.535
9,58199.5,2022-04-15 03:09:59.500,9.28371975175,9.287572381666667,9.284731470416666,9.284846375583333,9.277071870083335,9.260856727916666,9.21958305575,9.095759896583333,8.93346001775,8.784985187666667,8.61436596225,8.20645377,4.5855
10,59399.5,2022-04-15 03:29:59.500,9.281872877416665,9.285231797333333,9.28213183675,9.28334051775,9.278183904916666,9.272084578583334,9.247090854833333,9.177750217083334,9.05491216525,8.871079345416666,8.66556837675,8.291553288083334,4.6395
11,60599.5,2022-04-15 03:49:59.500,9.306867650166668,9.310906179333333,9.30820707,9.30989507,9.306508665083333,9.306257266,9.300499661166667,9.276529058166668,9.209752017333333,9.071843281833333,8.817580286666667,8.435735165416666,4.676
12,61799.5,2022-04-15 04:09:59.500,9.314500212416666,9.319217358666666,9.317056317583333,9.319489466416666,9.31696771775,9.31838175525,9.316714341666668,9.302061217,9.252736529166667,9.125431048833335,8.868522659,8.45383573625,4.7875000000000005
13,62999.5,2022-04-15 04:29:59.500,9.28654749125,9.290583071583333,9.287929668,9.289370809666666,9.284718226833334,9.279398627499999,9.249014687333334,9.20440618425,9.119221169333333,8.977049652083332,8.743626426,8.258552040666666,4.8705
14,64199.5,2022-04-15 04:49:59.500,9.241360057833333,9.246271949916666,9.244305675416667,9.246374573833334,9.242790874416668,9.239501534583333,9.210610866666666,9.11406917475,9.03548096425,8.853485950166668,8.60039365225,8.080908526916666,5.0175
15,65399.5,2022-04-15 05:09:59.500,9.20830157375,9.213751681166666,9.21223176725,9.193785949083333,9.153524957333333,9.11169213275,9.042480580416667,8.907052212166667,8.734930744083334,8.526880273083334,8.360985168416667,8.010933037666668,5.1075
16,66599.5,2022-04-15 05:29:59.500,9.197553721916666,9.202832647000001,9.201921072833334,9.20081226125,9.170895733750001,9.102465655333333,8.984143263833333,8.845648059250001,8.748579229,8.554499856000001,8.198495133583332,7.996636488666667,5.1685
17,67799.5,2022-04-15 05:49:59.500,9.193673529166666,9.1973893315,9.19309474975,9.190131163,9.181181170916668,9.1424615755,8.949190754249999,8.804920893833334,8.765828649833333,8.677380336750002,8.272587250083333,7.997011326916666,5.247
18,68999.5,2022-04-15 06:09:59.500,9.18630345125,9.191695847,9.189667418666666,9.189978407,9.182905185083333,9.153228704083334,9.002976107083333,8.845299206833333,8.76655576425,8.686631971833334,8.28141754525,8.005093393000001,5.3245
19,70199.5,2022-04-15 06:29:59.500,9.160072854333333,9.167161809166668,9.167957236083334,9.172533592999999,9.167120256416666,9.153908763999999,9.074915168416666,8.909479851666667,8.832759753,8.740790995083334,8.419139293333332,8.00703664225,5.364
20,71399.5,2022-04-15 06:49:59.500,9.1530183835,9.1591651075,9.158696642333332,9.16131014475,9.152948350416667,9.136039581333334,9.031925077666667,8.923645024333334,8.881787219416667,8.812515762666667,8.503154755,8.00329348125,5.4315
21,72599.5,2022-04-15 07:09:59.500,9.152502563416666,9.156448614666667,9.15431064425,9.157399706916667,9.1515831,9.118539712416666,9.063103966916666,8.957418946166666,8.92904848475,8.889183245583334,8.65320639225,8.055110526583332,5.4405
