,Unnamed: 0,eps_sonic1,MAD_value_1,MAD_criteria_met_1,eps_sonic2,MAD_value_2,MAD_criteria_met_2,eps_sonic3,MAD_value_3,MAD_criteria_met_3,eps_sonic4,MAD_value_4,MAD_criteria_met_4,epsU_sonic1_MAD,epsU_sonic2_MAD,epsU_sonic3_MAD,epsU_sonic4_MAD
0,0,0.0047043964196036,0.1423160656328178,True,0.0021551198978187,0.1502480212106441,True,0.0016795171889462,0.1251923108617589,True,0.001115697029596,0.1942594380252852,True,0.0047043964196036,0.0021551198978187,0.0016795171889462,0.001115697029596
1,1,0.0037634785433351,0.1298888707491338,True,0.0017131842659558,0.1393419071844631,True,0.0011764304389018,0.1311455762562463,True,0.0007776088068158,0.1927342038648773,True,0.0037634785433351,0.0017131842659558,0.0011764304389018,0.0007776088068158
2,2,0.0032428889682615,0.13303516067415,True,0.0015343537304291,0.140229892900128,True,0.001014663379415,0.141882600472579,True,0.0007933744472315,0.1949641331428355,True,0.0032428889682615,0.0015343537304291,0.001014663379415,0.0007933744472315
3,3,0.001425783021173,0.1819668712883629,True,0.0008397823179439,0.2040369495604501,True,0.0006672339472893,0.1569887805371838,True,0.000568348976567,0.1953962737541363,True,0.001425783021173,0.0008397823179439,0.0006672339472893,0.000568348976567
4,4,0.002484081630334,0.1371789951393067,True,0.0013396685671279,0.1591229231067012,True,0.0009067744171299,0.1460413192753795,True,0.0007903578809053,0.1944167511960889,True,0.002484081630334,0.0013396685671279,0.0009067744171299,0.0007903578809053
5,5,0.0017593711405143,0.1726976253569946,True,0.0009409486191713,0.1601554764935421,True,0.0007175682732332,0.1278093723100125,True,0.0005790299240949,0.1944373872518481,True,0.0017593711405143,0.0009409486191713,0.0007175682732332,0.0005790299240949
6,6,0.0022544623124245,0.1702197580035813,True,0.0010866783393522,0.1627444979458486,True,0.000743446972623,0.179454352887087,True,0.0006483819089164,0.1985645109864753,True,0.0022544623124245,0.0010866783393522,0.000743446972623,0.0006483819089164
7,7,0.001762803515576,0.1469237292526682,True,0.0006940994709907,0.1959781969419185,True,0.0004507146391713,0.2136814359366117,True,0.0003429367966988,0.1828663391312557,True,0.001762803515576,0.0006940994709907,0.0004507146391713,0.0003429367966988
8,8,0.0019700881330636,0.1662046412954843,True,0.0009886107613672,0.1815516543720274,True,0.0007931670235974,0.1291445270257275,True,0.0007030380841224,0.2057129868927094,True,0.0019700881330636,0.0009886107613672,0.0007931670235974,0.0007030380841224
9,9,0.0041483620345131,0.125903893027185,True,0.0018046740886256,0.1358202935306791,True,0.0012618168230194,0.1261398758035085,True,0.000938885648499,0.1913574252570292,True,0.0041483620345131,0.0018046740886256,0.0012618168230194,0.000938885648499
10,10,0.0036176633444699,0.1263784563521827,True,0.0015063982526684,0.1271386895382445,True,0.0009972185435258,0.1396245000619387,True,0.000835949446055,0.1961965422497122,True,0.0036176633444699,0.0015063982526684,0.0009972185435258,0.000835949446055
11,11,0.00357884431983,0.1277041818123942,True,0.0015407201185452,0.1529880973596755,True,0.0011217375194856,0.1491469474155226,True,0.0009367260077479,0.2001851495113269,True,0.00357884431983,0.0015407201185452,0.0011217375194856,0.0009367260077479
12,12,0.00221225347958,0.1693410939433484,True,0.0013343162240251,0.1233723325442983,True,0.0007945243729744,0.1369294983850693,True,0.0006833852986837,0.2074314197048834,True,0.00221225347958,0.0013343162240251,0.0007945243729744,0.0006833852986837
13,13,0.0040652290362235,0.1526668666589266,True,0.0022932386448074,0.1735935116774683,True,0.0013123803894918,0.1509055788175384,True,0.0009031751239693,0.1760506359251095,True,0.0040652290362235,0.0022932386448074,0.0013123803894918,0.0009031751239693
14,14,0.0024873458843747,0.1590439339529091,True,0.0011277656758732,0.1906286753364396,True,0.0008715694017624,0.2520964039829653,True,0.0007055924946235,0.1802095347652675,True,0.0024873458843747,0.0011277656758732,0.0008715694017624,0.0007055924946235
15,15,0.0019169088004968,0.1696466408227748,True,0.0007005072912555,0.2102714216755186,True,0.0005772756864063,0.1236253274888832,True,0.0003849410923872,0.2055713778354759,True,0.0019169088004968,0.0007005072912555,0.0005772756864063,0.0003849410923872
16,16,0.0005177622262081,0.2656441268741006,True,0.000162680563028,0.2142319893304678,True,0.0001544211542845,0.2117676600070112,True,0.0001537186419156,0.2196959557926324,True,0.0005177622262081,0.000162680563028,0.0001544211542845,0.0001537186419156
17,17,0.0001661681587087,0.2857686490160209,True,0.0001231233685424,0.3923447535391857,True,7.846087053211057e-05,0.1526400757179613,True,7.060449019783627e-05,0.1986168515506287,True,0.0001661681587087,0.0001231233685424,7.846087053211057e-05,7.060449019783627e-05
18,18,0.0001234044622734,0.158704878158943,True,4.8670455473858126e-05,0.2025810639117267,True,2.971761892689859e-05,0.1569408732564365,True,1.936764498471648e-05,0.2090714185132527,True,0.0001234044622734,4.8670455473858126e-05,2.971761892689859e-05,1.936764498471648e-05
19,19,0.0007130433966775,0.1742099448388856,True,0.0002450854750647,0.1747699643285087,True,0.0001370234032309,0.1533150661418796,True,9.970189774907353e-05,0.2697632492342808,True,0.0007130433966775,0.0002450854750647,0.0001370234032309,9.970189774907353e-05
20,20,0.0009353790196273,0.2022015146532643,True,0.0003444883576647,0.2247753447914541,True,0.0002288452949969,0.1963129758522886,True,0.0001673642677802,0.1804626372595829,True,0.0009353790196273,0.0003444883576647,0.0002288452949969,0.0001673642677802
21,21,0.001770307259918,0.1852588175706864,True,0.0008535626632924,0.3137318721402571,True,0.000467494404927,0.1844349773207699,True,0.0003378682142156,0.1773896930718858,True,0.001770307259918,0.0008535626632924,0.000467494404927,0.0003378682142156
22,22,0.001621640964458,0.2179792245738826,True,0.0008199668593131,0.2648152066318785,True,0.0005860878244216,0.2096400287736317,True,0.0003413337949501,0.1723637793213004,True,0.001621640964458,0.0008199668593131,0.0005860878244216,0.0003413337949501
23,23,0.0009141167235682,0.1510437177817303,True,0.000640903322133,0.2217721043742745,True,0.0005131990475789,0.2644209973749618,True,0.0003594830790537,0.1836094781244613,True,0.0009141167235682,0.000640903322133,0.0005131990475789,0.0003594830790537
24,24,0.0024364643931411,0.1677408246027414,True,0.0014448524043057,0.1738189998982531,True,0.001278585725596,0.1926340069281132,True,0.0009982223509299,0.1755981981419812,True,0.0024364643931411,0.0014448524043057,0.001278585725596,0.0009982223509299
25,25,0.0031684116675591,0.1985847215708118,True,0.001851694176517,0.1856454663054,True,0.0012334332995911,0.223396049541993,True,0.0008949721981163,0.1743359855859746,True,0.0031684116675591,0.001851694176517,0.0012334332995911,0.0008949721981163
26,26,0.0034781372439962,0.1332747974488214,True,0.0016788838843246,0.1296732908057821,True,0.0010723642263386,0.191922215550233,True,0.0009733199736586,0.1785380398516584,True,0.0034781372439962,0.0016788838843246,0.0010723642263386,0.0009733199736586
