,rho_bar_1,rho_bar_2,rho_bar_3
0,1.2539503130737537,1.2540189180304426,1.2538382568467696
1,1.2546931175955038,1.2547538555990725,1.2545379820335227
2,1.2551322003313987,1.255191453789375,1.2549113645608472
3,1.2556368882295845,1.2556939421536892,1.2553953069775408
4,1.2556092163227413,1.2556678807314605,1.2554008734391875
5,1.2556086535499098,1.2556671913942212,1.2554897680443489
6,1.2556391920848866,1.2556973331315873,1.2554097817198606
7,1.2559133936627158,1.2559706864585414,1.2556616919260897
8,1.2554588389517773,1.2555176005248785,1.2552712950092864
9,1.2554109728948184,1.255470899483416,1.2552770502267088
10,1.2558232300329533,1.2558815234024454,1.2556388242294092
11,1.256344012165838,1.2564005019890143,1.2562022070541088
12,1.2561150783906376,1.2561742602080157,1.2559974946563213
13,1.257411292252924,1.2574620088711626,1.2573721781588971
14,1.2569232695735761,1.256977453812861,1.2567699467760123
15,1.2558176953771016,1.2558717155859556,1.255788351569259
16,1.2563697964006235,1.2564243273163624,1.2560651237584066
17,1.257206177558703,1.2572603074362603,1.2569004314219354
18,1.2574191308277642,1.2574733110686083,1.257166404322179
19,1.2574489205425674,1.2575030015759838,1.2573800937049933
20,1.2571586562922226,1.2572122619855461,1.2569761759857294
21,1.256370493032757,1.2564242632410179,1.2562548575334516
22,1.2558118214256442,1.2558660578983312,1.2555718649965826
23,1.2553736512797051,1.2554282899940146,1.2551397282479169
24,1.2547238631985542,1.2547799635303671,1.2544099039132295
25,1.2538377548913984,1.253891956330568,1.2534999014817063
26,1.25231255378089,1.2523663291303069,1.2519466690502228
27,1.2509954565334582,1.251051599311973,1.250496835646541
28,1.2485960167111636,1.2486538073293363,1.2474730987803537
29,1.2465156070036136,1.246573768200019,1.244862051879035
30,1.2441061949151195,1.2441644248440145,1.242609288829031
31,1.2407446422023274,1.2408029263062532,1.2390053129310197
32,1.2408480533730837,1.24090612867458,1.2386600246194976
33,1.2396857024629144,1.2397441561613396,1.2380408143698283
34,1.2380038646699663,1.2380576322721928,1.2364364470715845
35,1.236866285284254,1.2369186161092915,1.2350932996721593
36,1.2357906245785462,1.2358368916244793,1.2342684133871813
37,1.2378986330523827,1.2379507229488682,1.2366351010744547
38,1.2486005225025434,1.2486697344738784,1.2480846502886898
39,1.2493266607006264,1.2493968559381132,1.2488336952206014
40,1.2485283407029493,1.2485967427632063,1.2480145019348459
41,1.2490261995356204,1.2490936080982815,1.2485524830340153
42,1.2473999987319901,1.2474683058366123,1.2469312200496312
43,1.246710456180153,1.2467814078560444,1.2460712145401678
44,1.2466247248547198,1.2466952635024828,1.2459712984150664
45,1.2473841755570836,1.2474554087600631,1.2467360219870587
46,1.247903540633907,1.2479760254356163,1.247333412678144
47,1.2475196533798427,1.247594671197326,1.24688763809753
48,1.2469747445388426,1.2470482253328297,1.246324561764408
49,1.2467207507993014,1.2467986682603682,1.2461445680111265
50,1.2470680168265031,1.2471487069589247,1.2465312215609106
51,1.248288781172142,1.2483635524748096,1.2477821662750794
52,1.2488539989485101,1.248928718588146,1.2483817349986959
53,1.2492335899929428,1.249285259155949,1.2487617353608915
54,1.2499043977761313,1.2499428570755633,1.2494523632641992
55,1.2509513189904566,1.2509914516008869,1.2505772249329914
56,1.2512282841927374,1.2512698946395264,1.2509051342870523
57,1.2517453740690967,1.2517880007583517,1.2515469728527597
