,date,UpWp_bar_Ubar_sonic1,UpWp_bar_Ubar_sonic2,UpWp_bar_Ubar_sonic3,UpWp_bar_Ubar_sonic4,z_s1,z_s2,z_s3,z_s4
0,2022-04-15 00:00:38.966405,-0.2212726481687087,-0.21684834455794327,-0.24637137217499636,-0.26757889535837803,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
1,2022-04-15 00:20:38.976000,-0.14426635954260256,-0.10369929770921325,-0.07980196187135284,-0.15510946210989413,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
2,2022-04-15 00:40:38.985604,-0.12580261834257764,-0.11251092727034177,0.024409266411993945,-0.1287727311709629,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
3,2022-04-15 01:00:38.995199,-0.0714638498757487,-0.05825103045856479,-0.06373014078362549,-0.12068417936085934,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
4,2022-04-15 01:20:39.004803,-0.0909398704785991,-0.09908578894983365,-0.13828359421778927,-0.14714671407323635,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
5,2022-04-15 01:40:39.014398,-0.05427679801577209,-0.04377102199417051,-0.05096218718600612,-0.02063792107795179,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
6,2022-04-15 02:00:39.024002,-0.08889476791647312,-0.10872618640754707,-0.14830181208467255,-0.11887719440411211,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
7,2022-04-15 02:20:39.033597,-0.07528442876481814,-0.07984965966686584,-0.12016862834823028,-0.10513464527537941,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
8,2022-04-15 02:40:39.043201,-0.07179818664670513,-0.0472843032251633,-0.07326871065405838,-0.062476746652686724,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
9,2022-04-15 03:00:38.966405,-0.11359265267325365,-0.09913075041952353,-0.10507010784532682,-0.14184795101250686,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
10,2022-04-15 03:20:38.976000,-0.1604036057694316,-0.18956728563961806,-0.20908023507660475,-0.20756229010387997,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
11,2022-04-15 03:40:38.985604,-0.1185849045615376,-0.09008948345770756,-0.08982176554510843,-0.11537564402565995,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
12,2022-04-15 04:00:38.995199,-0.06921333922631881,-0.06412311402302887,-0.03232496932281987,-0.0959541686202856,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
13,2022-04-15 04:20:39.004803,-0.053584634907512904,-0.10864616271704673,-0.2729770341535851,-0.0928576027258885,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
14,2022-04-15 04:40:39.014398,-0.05163076801614905,-0.061012217768552354,-0.12361476566083553,-0.06501818227059693,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
15,2022-04-15 05:00:39.024002,-0.04205768175608856,-0.038007688436244816,-0.08193165353804753,-0.0519203393315082,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
16,2022-04-15 05:20:39.033597,0.010845853023621099,0.0020506692907259335,-0.027439323184018885,-0.02468276931354883,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
17,2022-04-15 05:40:39.043201,-0.0007982554566295884,-0.001969865384642556,-0.0037126497195897165,-0.0019275222352009894,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
18,2022-04-15 06:00:38.966405,-0.001024254879067831,0.000626847241434152,-0.0014900151027110336,0.006363419994217394,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
19,2022-04-15 06:20:38.976000,-0.008061527958711685,-0.004754178300991787,-0.007161525155249334,-0.017584713004319862,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
20,2022-04-15 06:40:38.985604,-0.016964397331737276,-0.015862512185153266,-0.01706683892381221,-0.022475767395117998,1.841853914141415,4.536853914141416,7.331853914141414,9.746853914141417
