,rh1,rh2,sw_dn,lw_dn,t1 [C],t2 [C],t1 [K],t2 [K],p_air [mb],p_air [Pa]
0,87.95025,89.28433333333334,-0.51988,333.2552535376555,8.124375,8.166516666666668,281.27437499999996,281.31651666666664,1048.3508333333334,10.483508333333335
1,87.22108333333333,88.49166666666666,-0.19040666666666672,346.97849457891397,8.144775,8.196158333333337,281.29477499999996,281.34615833333334,1049.0075,10.490075
2,87.29116666666665,88.54091666666667,-0.3525258333333333,341.8347451184535,8.102691666666667,8.168875000000002,281.25269166666664,281.318875,1049.305,10.49305
3,87.40375,88.7135,-0.33307083333333337,343.30623389003796,8.104783333333335,8.175983333333333,281.2547833333333,281.3259833333333,1050.0,10.5
4,87.73758333333333,88.926,-0.26341583333333335,345.8912442731312,8.086133333333333,8.149708333333335,281.2361333333333,281.2997083333333,1049.8425,10.498425
5,88.4965,89.87866666666666,-0.20750083333333336,345.16154944710973,8.051091666666668,8.094683333333332,281.2010916666666,281.2446833333333,1049.6325,10.496324999999999
6,89.28949999999999,90.593,-0.106875,349.6287905367617,8.098641666666666,8.166858333333334,281.24864166666663,281.3168583333333,1050.0,10.5
7,89.25941666666665,90.51975,-0.036480000000000005,351.6732313754451,8.102558333333333,8.175825,281.2525583333333,281.32582499999995,1050.0,10.5
8,88.90225,90.20016666666666,-0.2047616666666667,343.95996936256466,8.151516666666666,8.210575000000002,281.30151666666666,281.360575,1050.0,10.5
9,87.79074999999999,89.1095,-0.6052750000000001,330.7240964209899,8.176916666666665,8.223725000000002,281.32691666666665,281.373725,1050.0,10.5
10,87.26175,88.50591666666668,-0.22123083333333335,344.52536783825656,8.199225,8.257083333333334,281.349225,281.40708333333333,1050.1208333333334,10.501208333333334
11,87.76241666666667,88.9965,-0.0795175,348.88964653753897,8.235108333333333,8.283391666666667,281.38510833333333,281.43339166666664,1051.0,10.51
12,88.2295,89.535,-0.36114333333333337,347.1302741597241,8.272624999999998,8.316,281.422625,281.46599999999995,1051.0375,10.510375
13,88.91941666666666,90.36233333333334,-0.4730191666666667,347.30634243397816,8.462124999999999,8.487175,281.612125,281.63717499999996,1052.8316666666667,10.528316666666667
14,89.70258333333332,91.30733333333332,-0.130855,346.09967615648026,8.416508333333331,8.467816666666668,281.56650833333333,281.61781666666667,1052.04,10.5204
15,90.10191666666667,91.86591666666668,-0.08977916666666667,346.871936103022,8.484383333333335,8.507850000000001,281.6343833333333,281.65785,1051.7066666666667,10.517066666666667
16,90.76366666666667,92.51650000000001,-0.5330258333333334,343.8855243981605,8.392066666666667,8.477900000000002,281.54206666666664,281.62789999999995,1051.7441666666666,10.517441666666667
17,90.79475000000001,92.30808333333333,-0.3812033333333334,334.8325047483927,8.404741666666666,8.490841666666668,281.55474166666664,281.64084166666663,1052.3658333333333,10.523658333333334
18,90.8655,92.40366666666667,1.6673075,331.7214729436299,8.443166666666666,8.5174,281.59316666666666,281.6674,1052.8733333333332,10.528733333333332
19,90.58125,92.013,7.617326666666668,341.8086057953491,8.556558333333333,8.5896,281.7065583333333,281.7396,1053.0,10.53
20,91.32175000000001,92.77324999999999,23.101225,340.33446281893634,8.637299999999998,8.695791666666667,281.78729999999996,281.8457916666666,1053.0,10.53
21,91.92291666666667,93.31258333333332,43.56803333333333,329.88342992600275,8.824158333333331,8.867625,281.9741583333333,282.01762499999995,1053.0,10.53
22,91.84283333333335,93.16008333333333,98.60188333333333,299.718119860282,8.952241666666666,9.023683333333333,282.10224166666666,282.1736833333333,1053.0,10.53
23,91.45108333333333,92.71558333333333,149.96408333333332,284.1817029837202,9.037024999999998,9.107183333333332,282.18702499999995,282.25718333333333,1053.0,10.53
24,86.73088333333334,87.49415833333333,292.43291666666664,278.258745797026,9.272933333333334,9.361116666666668,282.42293333333333,282.5111166666666,1053.6841666666667,10.536841666666668
25,80.026875,80.27295833333334,344.96400000000006,273.82291542231883,9.587925,9.681133333333333,282.73792499999996,282.8311333333333,1054.0,10.54
26,72.85526666666668,72.52538333333334,515.8803333333334,273.0326708541897,10.002075,10.101691666666666,283.15207499999997,283.25169166666666,1054.0,10.54
27,68.12053333333333,67.068775,593.7830833333333,275.18016275830956,10.379333333333333,10.509408333333335,283.5293333333333,283.6594083333333,1054.75,10.5475
28,60.229441666666666,58.37976666666667,648.0864166666667,278.28337318563376,11.003608333333334,11.276499999999999,284.1536083333333,284.4265,1055.0,10.55
29,54.958774999999996,52.637750000000004,700.8303333333333,280.2958129232785,11.494791666666664,11.889883333333334,284.64479166666666,285.0398833333333,1055.0,10.55
30,47.80855833333334,45.51421666666666,752.77825,282.2735752038962,12.044816666666668,12.405166666666668,285.19481666666667,285.55516666666665,1055.0,10.55
31,40.83849166666667,38.57878333333334,800.17125,284.68380456011914,12.838941666666667,13.256241666666664,285.9889416666666,286.40624166666663,1055.0,10.55
32,42.35724166666667,39.630250000000004,837.0458333333333,286.180706905025,12.798891666666666,13.320199999999998,285.94889166666667,286.4702,1055.0,10.55
33,40.26776666666667,37.98925,871.385,286.789847118551,13.010191666666666,13.406966666666666,286.16019166666666,286.55696666666665,1055.0,10.55
34,37.05425,35.06804166666667,901.8408333333333,287.6189059808369,13.403375,13.782224999999999,286.55337499999996,286.93222499999996,1054.92,10.5492
35,35.92485833333333,33.539425,924.7008333333333,288.5964516676417,13.6164,14.043524999999999,286.7664,287.19352499999997,1054.7508333333333,10.547508333333333
36,34.858475,32.96623333333333,936.3783333333333,288.40430074869806,13.855008333333336,14.222408333333332,287.0050083333333,287.3724083333333,1054.1825,10.541825
