,alpha_s1,alpha_s2,alpha_s3,alpha_s4
0,1.2048172999457796,0.2100047562629091,1.402327880031766,-4.6800873961667735
1,18.978092657718875,18.11872574478029,18.70602674206545,13.01400205235374
2,22.227901708399067,21.150387921120068,21.5717732419135,15.86377833370719
3,26.60604519236909,26.00872773930095,26.203052388944776,20.882166399948936
4,18.32034390105295,17.136662341030597,17.780422983338816,12.166528224577483
5,16.299708891750676,15.083277265683863,15.599819794687455,10.011405449749471
6,21.0475757732482,19.930883674310536,20.45237516803254,14.861318117169834
7,23.400010178550545,22.52801332075619,23.074130454414583,17.67672498992431
8,14.409992773838455,13.340922090330992,14.170647471450998,8.679983401299651
9,18.05266922201186,16.852653975449645,17.385892596532056,11.677847199897467
10,24.90233960738121,24.079590725349387,24.44595578250442,18.697340898777263
11,30.90295037592153,30.384450284924704,30.852421155600936,25.391726127485043
12,13.8636742934948,12.615878174290362,13.5316240218505,8.073625937355573
13,86.57681278148084,84.69579421015997,86.21442337453297,77.62391936076969
14,60.44330420932179,58.95712758586088,59.76501361543264,53.46386908650971
15,39.74858707652445,38.85851169071611,39.36979846630061,34.137557728626554
16,42.5691582491361,40.61696811591995,41.37240670206666,38.08250556920808
17,102.57858863185056,94.65079667350264,93.93914399654896,83.75836673121579
18,91.193785556056,87.4183264441765,88.69115637135701,79.8372024761459
19,72.41108307018456,70.3581537253274,71.42314866046702,64.4723121994442
20,71.12928268887039,69.3127557556439,70.46876185213556,63.60178534738229
21,75.009657925487,73.24658222855595,74.51361727361954,67.16690046657003
22,79.45773313517866,77.14655159322893,78.18164545955241,69.93568758539891
23,75.4546042350518,73.42552222665624,74.27191939343541,66.35614758446184
24,80.0153745942098,77.92672720418706,78.82273649194003,70.48929396656709
25,76.5002473459244,74.43623688933761,75.03600479957211,66.66827007945496
26,64.3467999044021,62.63720381910211,63.29885345762415,56.60212906184734
27,53.21278463933765,51.26439945586636,51.57612523590591,45.786429031139065
28,42.59725657531824,41.50320231868752,42.26025655837348,36.97824288755283
29,41.9636201068691,40.74511057089577,41.33293277678946,35.8005539878872
30,44.07268411619287,42.61947858722354,42.91033050411636,37.24257853317777
31,41.62875761795622,40.49474765746077,41.14995898681869,35.4684233662582
32,43.87096438869517,42.81821413291264,43.51399698343674,37.92139898736043
33,53.48465411120565,52.649811519801,53.90213024414617,48.45606356206859
34,76.14425029283566,75.04709554519806,76.55465012076894,68.61496246901379
35,84.07024724270887,82.4835029560017,83.90010705002918,75.14401601775113
36,95.7660646733612,94.43947142817468,95.58160024447776,85.92450399880927
37,108.99809386413476,107.65177369559107,108.89898993606636,98.1254614543144
38,148.4108949966402,149.06686626597988,150.62377800339794,138.8568770803337
39,151.1382176476414,151.52444397076712,152.84296516570492,140.8917301583144
40,149.04784221191434,149.36686040046965,150.5691909721324,138.54012216437474
41,146.07265760951776,146.14075183307034,147.2077616289287,134.81897841092072
42,145.31046317285785,145.63583071155685,146.7536069599081,134.35516082414787
43,145.9952500198262,146.20808771435298,147.34944174169783,134.98678531210362
44,144.99292042501023,145.15677599370187,146.38002634526552,134.09867628563606
45,149.78144942267227,150.05620807966037,151.19858746262292,139.2850599923076
46,147.94163482352357,148.3271520230602,149.5599979690182,137.69292375231032
47,148.23710005931176,148.792983269875,150.0836258629606,138.38880827994618
48,147.87579824817615,147.99176873096263,149.27729112860683,137.3364204975695
