,date_time,salinity,sst,depth
99,2022-04-16 06:20:38.976000,,9.15795,3.5605
100,2022-04-16 06:40:38.985604,,9.15645,3.584
101,2022-04-16 07:00:38.995199,,9.15895,3.751
102,2022-04-16 07:20:39.004803,,9.16635,3.7945
103,2022-04-16 07:40:39.014398,,9.177050000000001,3.7939999999999996
104,2022-04-16 08:00:39.024002,,9.18675,3.811
105,2022-04-16 08:20:39.033597,,9.19445,3.8914999999999997
106,2022-04-16 08:40:39.043201,,9.2057,3.8339999999999996
107,2022-04-16 09:00:38.966405,,9.2012,3.7895000000000003
108,2022-04-16 09:20:38.976000,,9.197849999999999,3.7199999999999998
109,2022-04-16 09:40:38.985604,,9.1924,3.637
110,2022-04-16 10:00:38.995199,,9.18395,3.6345
111,2022-04-16 10:20:39.004803,,9.19145,3.4345
112,2022-04-16 10:40:39.014398,,9.18295,3.404
113,2022-04-16 11:00:39.024002,,9.1405,3.2169999999999996
114,2022-04-16 11:20:39.033597,,9.1364,2.956
115,2022-04-16 11:40:39.043201,,9.13665,2.927
116,2022-04-16 12:00:38.966405,,9.1746,2.7409999999999997
117,2022-04-16 12:20:38.976000,,9.19165,2.605
118,2022-04-16 12:40:38.985604,,9.21215,2.7
119,2022-04-16 13:00:38.995199,,9.2387,2.39
120,2022-04-16 13:20:39.004803,,9.295950000000001,2.5595
121,2022-04-16 13:40:39.014398,,9.32715,2.4455
122,2022-04-16 14:00:39.024002,,9.34685,2.484
123,2022-04-16 14:20:39.033597,,9.3723,2.5505
124,2022-04-16 14:40:39.043201,,9.39085,2.5895
125,2022-04-16 15:00:38.966405,,9.3859,2.6005000000000003
126,2022-04-16 15:20:38.976000,,9.385349999999999,2.5945
127,2022-04-16 15:40:38.985604,,9.3652,2.64
128,2022-04-16 16:00:38.995199,,9.360299999999999,2.815
129,2022-04-16 16:20:39.004803,,9.366150000000001,2.8715
130,2022-04-16 16:40:39.014398,,9.339500000000001,2.9284999999999997
131,2022-04-16 17:00:39.024002,,9.29635,3.053
132,2022-04-16 17:20:39.033597,,9.27215,3.0905
133,2022-04-16 17:40:39.043201,,9.2416,3.3665000000000003
134,2022-04-16 18:00:38.966405,,9.25265,3.3840000000000003
135,2022-04-16 18:20:38.976000,,9.28455,3.498
136,2022-04-16 18:40:38.985604,,9.29075,3.7
137,2022-04-16 19:00:38.995199,,9.3092,3.7560000000000002
138,2022-04-16 19:20:39.004803,,9.3089,3.8775
139,2022-04-16 19:40:39.014398,,9.3078,3.9795
140,2022-04-16 20:00:39.024002,,9.31715,3.9894999999999996
141,2022-04-16 20:20:39.033597,,9.3313,4.055
142,2022-04-16 20:40:39.043201,,9.344100000000001,4.0555
143,2022-04-16 21:00:38.966405,,9.3529,4.0565
144,2022-04-16 21:20:38.976000,,9.332699999999999,3.9645
145,2022-04-16 21:40:38.985604,,9.3219,3.9475
146,2022-04-16 22:00:38.995199,,9.33595,3.79
147,2022-04-16 22:20:39.004803,,9.357050000000001,3.6260000000000003
148,2022-04-16 22:40:39.014398,,9.403400000000001,3.5335
149,2022-04-16 23:00:39.024002,,9.4634,3.3725
150,2022-04-16 23:20:39.033597,,9.44715,3.211
151,2022-04-16 23:40:39.043201,,9.429300000000001,3.0225
152,2022-04-17 00:00:38.966405,,9.39335,2.903
153,2022-04-17 00:20:38.976000,,9.39535,2.721
154,2022-04-17 00:40:38.985604,,9.537949999999999,2.6565000000000003
155,2022-04-17 01:00:38.995199,,9.5596,2.5705
156,2022-04-17 01:20:39.004803,,9.5634,2.4795
157,2022-04-17 01:40:39.014398,,9.5455,2.4035
158,2022-04-17 02:00:39.024002,,9.5545,2.3680000000000003
159,2022-04-17 02:20:39.033597,,9.61755,2.3785
160,2022-04-17 02:40:39.043201,,9.61345,2.3365
161,2022-04-17 03:00:38.966405,,9.584900000000001,2.43
162,2022-04-17 03:20:38.976000,,9.58595,2.527
163,2022-04-17 03:40:38.985604,,9.57095,2.5255
164,2022-04-17 04:00:38.995199,,9.559650000000001,2.5735
165,2022-04-17 04:20:39.004803,,9.53265,2.653
166,2022-04-17 04:40:39.014398,,9.45235,2.7515
167,2022-04-17 05:00:39.024002,,9.45895,2.888
168,2022-04-17 05:20:39.033597,,9.41705,2.965
169,2022-04-17 05:40:39.043201,,9.4091,3.0895
170,2022-04-17 06:00:38.966405,,9.40905,3.1625
171,2022-04-17 06:20:38.976000,,9.4037,3.2965
172,2022-04-17 06:40:38.985604,,9.3953,3.383
173,2022-04-17 07:00:38.995199,,9.386,3.513
174,2022-04-17 07:20:39.004803,,9.38265,3.6125
175,2022-04-17 07:40:39.014398,,9.375,3.6654999999999998
176,2022-04-17 08:00:39.024002,,9.373149999999999,3.7445
177,2022-04-17 08:20:39.033597,,9.37855,3.7809999999999997
178,2022-04-17 08:40:39.043201,,9.3875,3.8265000000000002
