,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
3311,8.679134873187925,8.703475322314837,8.711904589661875,8.70522905537647,288.50416666666666,288.5,-0.1130823304945699,0.0114823022531325,0.0170890285778613,0.0311558069779593,0.6626776451537408
3312,8.749085628261076,8.777116418324335,8.78633376695028,8.771411821724971,288.2030755208333,288.19,-0.1505702617288198,0.0223363913226429,0.024732056242437,0.0291982995456726,0.9180590833503892
3313,9.014453251575544,9.045898075341256,9.05550699264187,8.995123745727684,287.91051796875,287.91,-0.1452867846593218,0.0299898981892161,0.0282700916852931,0.0482637885585105,1.0072497041208903
3314,9.122080716838909,9.156268067488057,9.165484136143425,9.167812460955606,287.658621875,287.65,-0.158017413952908,0.0241622465472922,0.0312571908096336,0.039219305448149,0.9834720766363866
3315,8.882362386047435,8.916458787432687,8.926280602645855,8.887771729830765,287.50361328125,287.5,-0.1486235586824331,0.0277422955215702,0.0312508367583409,0.0405114917377432,0.8245555063660684
3316,8.617630662077094,8.65861320690147,8.667583265124518,8.648575026677689,287.1535438802083,287.15,-0.1355573952355972,0.025997988536053,0.0359154722304479,0.0280799535327636,0.890012141667667
3317,9.28229930909896,9.310572604097114,9.31936777626526,9.337029190429856,286.80890416666665,286.79,-0.1421975881849314,0.0219914301076794,0.0410790688813233,0.0289992535663572,0.7721218905109999
3318,8.538935872055639,8.563734140025602,8.571980889765234,8.573466980455898,286.5969033854166,286.59,-0.1142593851230541,0.0235872857990208,0.0416513463924825,0.0338436933096122,0.6621691823258125
3319,7.25028620806717,7.278755510317616,7.284665430106189,7.292850084714804,286.22925442708333,286.21,-0.0821728389688791,0.0138893314886045,0.0319042605878435,0.0270529082316887,0.6263007732480198
3320,7.40285428855961,7.435847109858654,7.442383026961382,7.395329884664994,286.0849239583333,286.06,-0.0660582910002031,0.0332489127602751,0.0345652648550562,0.0258689733470684,0.7305743901876832
3321,7.810084754896301,7.843090324937317,7.850529187758887,7.825771123276813,285.88820416666664,285.86,-0.0909622508034384,0.0277019813925628,0.0373698605799557,0.0263025896326454,0.6573363950681814
3322,8.038647809052309,8.074725566121458,8.08272572121057,8.003954698106298,285.8379658854167,285.82,-0.0968828164556161,0.038088092761993,0.0405461542447087,0.0190930633809947,0.8255125548653837
3323,8.341329572580818,8.382127219144172,8.391303807721364,8.369736413112372,285.7613184895833,285.73999999999995,-0.120011071280744,0.0210551071269299,0.050282673723079,0.024577560216964,0.82512744483707
3324,8.036596117398794,8.089657050426412,8.097967683536856,8.066350490391539,285.56886328124995,285.54999999999995,-0.1104893820598133,0.0276368829811922,0.0512344032612402,0.0288002075870418,0.9875989174906412
3325,7.958486888591079,8.00176416631147,8.01057857261664,7.981218055078433,285.30336666666665,285.28,-0.1222060386211788,0.0052876975192906,0.0565100580386995,0.0338678442898803,0.8107283118247138
3326,7.89919238530147,7.933880305960281,7.942235807463909,7.915490418654866,285.1549450520833,285.13,-0.1130830063645679,0.0032177330794143,0.0546749619962227,0.0295653628809203,0.702254762275594
3327,8.141146623195809,8.18628685900113,8.195513275457264,8.167825084136792,284.9958888020833,284.96,-0.1247430297224766,-0.0090366037237655,0.0558248025535678,0.0387357269525084,0.882740664246114
3328,7.633673897983166,7.6621053617768125,7.670108452884107,7.624733178758047,284.8542067708333,284.82,-0.0879485390137108,-0.0036251347166046,0.0495181173012314,0.0142918923135308,0.6162207444641452
3329,7.323563051372057,7.365171415500555,7.373075335018775,7.349671829297723,284.75845546875,284.73999999999995,-0.0796996933536011,0.007629734291128,0.054234695099364,0.018235765023065,0.6757576598752849
3330,7.732163994476882,7.777314775569992,7.785968762451864,7.712681620082891,284.62839479166666,284.6,-0.1106046989799952,0.013898746373005,0.0603117413524587,0.0271271429875105,0.8467750150937228
3331,7.47720013523228,7.523827756957409,7.532813252947749,7.463221629792563,284.52589140625,284.51,-0.0998906096641092,0.0038767340457514,0.0587275502025719,0.0288497603423057,0.7776777410209146
3332,7.11412944729048,7.185904469151728,7.193984924698371,7.118886171221559,284.255860546875,284.23999999999995,-0.0983373416867632,0.0276273564038898,0.058813029990085,0.0224626851240066,0.9349118233338588
3333,7.533468302386461,7.595295784763198,7.603322665035697,7.467520611100544,283.8376877604167,283.79999999999995,-0.1055753294127093,0.0445247273956266,0.0607082827014418,-0.0067495659471399,1.170101280436537
3334,8.69504032679957,8.760177191148443,8.771123727892702,8.685352811835639,283.8186411458333,283.79999999999995,-0.1512859081149687,0.0299975180226109,0.0819916205238465,0.0458299614053487,1.220751105744459
3335,8.250413206736473,8.304182132031217,8.314168935196697,8.254681524115068,283.83433932291666,283.82,-0.1411156015468776,0.0313114111918959,0.0787369578333859,0.0349044234474624,1.1419142100265502
3336,6.906006399906199,6.957092536186098,6.965490515866755,6.918206760748456,283.43542890625,283.39,-0.0918125798501963,0.0330675795725889,0.0701533550706752,0.0156052824392202,0.8214704854265339
3337,7.251875788496556,7.318727594579428,7.327068341536454,7.230831810349904,283.26571510416665,283.23999999999995,-0.1085845970540228,0.0386857742666853,0.0742634730019415,0.0065916773312654,1.0247554847480604
3338,8.259221998234656,8.334631627076421,8.344323309476568,8.26845896371941,283.430451171875,283.41,-0.1387815860058708,0.0439706618020346,0.0840592794181745,0.0184144098172066,1.201741944971339
3339,8.988693607969111,9.05440552036433,9.06594282396618,8.950180897651238,283.5997768229167,283.57,-0.1685051442331572,0.0074708507516303,0.0899909805626011,0.035254189908879,1.477589620065206
3340,9.71173922965292,9.793575929376306,9.806522952009775,9.62257229251308,283.51032265625,283.48999999999995,-0.1823307947588122,0.0141378050954474,0.0987795159864198,0.0091469750028544,1.831321464116584
3341,9.676241537479058,9.787151103871476,9.79948907118798,9.627791020637174,283.46998671875,283.44,-0.1800611466418134,0.0184424452947107,0.0917234844535295,-0.0017682124457752,2.013798080192464
3342,9.32335018693992,9.438157740061234,9.449791001799207,9.274167650905897,283.59102578125,283.57,-0.1929459806946796,0.0360896433051833,0.0958462280335959,-0.0212661651570958,2.131235197429336
3343,9.174365728599236,9.294097161086436,9.304472104208228,9.117878192173382,283.55669739583334,283.53,-0.156552988605633,0.0174889134095129,0.0820137218671241,0.02306081053855,2.060409948423089
